time,node_id,observed_arrival_rate,waiting_queue_size,idle
0.000,0,3.000,3,true
0.000,1,1.000,1,true
0.000,2,4.000,4,true
0.000,3,2.000,2,true
0.000,4,4.000,4,true
1.000,0,0.000,2,false
1.000,1,2.000,2,false
1.000,2,2.000,5,false
1.000,3,5.000,6,false
1.000,4,4.000,7,false
2.000,0,0.000,2,false
2.000,1,1.000,3,false
2.000,2,1.000,6,false
2.000,3,3.000,9,false
2.000,4,5.000,12,false
3.000,0,0.000,2,false
3.000,1,2.000,5,false
3.000,2,3.000,8,false
3.000,3,4.000,13,false
3.000,4,4.000,16,false
4.000,0,0.000,1,false
4.000,1,3.000,8,false
4.000,2,2.000,10,false
4.000,3,2.000,15,false
4.000,4,3.000,19,false
5.000,0,0.000,1,false
5.000,1,3.000,11,false
5.000,2,1.000,11,false
5.000,3,2.000,17,false
5.000,4,1.000,20,false
6.000,0,0.000,1,false
6.000,1,1.000,12,false
6.000,2,1.000,12,false
6.000,3,2.000,19,false
6.000,4,3.000,23,false
7.000,0,3.000,4,false
7.000,1,1.000,13,false
7.000,2,3.000,15,false
7.000,3,0.000,19,false
7.000,4,6.000,28,false
8.000,0,0.000,4,false
8.000,1,1.000,14,false
8.000,2,4.000,19,false
8.000,3,2.000,21,false
8.000,4,4.000,32,false
9.000,0,1.000,4,false
9.000,1,0.000,14,false
9.000,2,1.000,19,false
9.000,3,4.000,25,false
9.000,4,4.000,36,false
10.000,0,1.000,5,false
10.000,1,3.000,17,false
10.000,2,4.000,23,false
10.000,3,2.000,27,false
10.000,4,6.000,42,false
11.000,0,3.000,8,false
11.000,1,4.000,21,false
11.000,2,2.000,25,false
11.000,3,2.000,29,false
11.000,4,7.000,49,false
12.000,0,1.000,9,false
12.000,1,0.000,21,false
12.000,2,2.000,27,false
12.000,3,4.000,32,false
12.000,4,3.000,52,false
13.000,0,1.000,10,false
13.000,1,2.000,23,false
13.000,2,1.000,28,false
13.000,3,3.000,35,false
13.000,4,3.000,55,false
14.000,0,1.000,11,false
14.000,1,4.000,27,false
14.000,2,3.000,31,false
14.000,3,2.000,37,false
14.000,4,3.000,57,false
15.000,0,2.000,13,false
15.000,1,0.000,27,false
15.000,2,1.000,32,false
15.000,3,4.000,41,false
15.000,4,1.000,58,false
16.000,0,1.000,14,false
16.000,1,3.000,30,false
16.000,2,1.000,32,false
16.000,3,3.000,44,false
16.000,4,4.000,62,false
17.000,0,0.000,14,false
17.000,1,2.000,32,false
17.000,2,5.000,37,false
17.000,3,2.000,46,false
17.000,4,5.000,67,false
18.000,0,1.000,15,false
18.000,1,2.000,34,false
18.000,2,2.000,38,false
18.000,3,3.000,49,false
18.000,4,1.000,67,false
19.000,0,1.000,16,false
19.000,1,1.000,34,false
19.000,2,2.000,40,false
19.000,3,1.000,50,false
19.000,4,10.000,77,false
20.000,0,0.000,16,false
20.000,1,2.000,36,false
20.000,2,3.000,43,false
20.000,3,2.000,51,false
20.000,4,4.000,81,false
21.000,0,1.000,16,false
21.000,1,1.000,37,false
21.000,2,1.000,44,false
21.000,3,2.000,53,false
21.000,4,3.000,84,false
22.000,0,1.000,17,false
22.000,1,0.000,36,false
22.000,2,2.000,46,false
22.000,3,5.000,58,false
22.000,4,5.000,89,false
23.000,0,0.000,17,false
23.000,1,2.000,38,false
23.000,2,1.000,47,false
23.000,3,1.000,59,false
23.000,4,6.000,95,false
24.000,0,2.000,19,false
24.000,1,3.000,41,false
24.000,2,0.000,46,false
24.000,3,7.000,66,false
24.000,4,9.000,104,false
25.000,0,1.000,20,false
25.000,1,2.000,43,false
25.000,2,0.000,46,false
25.000,3,3.000,58,false
25.000,4,5.000,108,false
26.000,0,1.000,21,false
26.000,1,2.000,45,false
26.000,2,3.000,49,false
26.000,3,1.000,59,false
26.000,4,5.000,113,false
27.000,0,0.000,21,false
27.000,1,1.000,46,false
27.000,2,3.000,52,false
27.000,3,3.000,62,false
27.000,4,5.000,118,false
28.000,0,0.000,21,false
28.000,1,0.000,46,false
28.000,2,1.000,53,false
28.000,3,4.000,66,false
28.000,4,8.000,115,false
29.000,0,0.000,21,false
29.000,1,1.000,47,false
29.000,2,2.000,55,false
29.000,3,7.000,73,false
29.000,4,4.000,119,false
30.000,0,1.000,22,false
30.000,1,0.000,47,false
30.000,2,3.000,57,false
30.000,3,1.000,74,false
30.000,4,2.000,121,false
31.000,0,0.000,22,false
31.000,1,1.000,48,false
31.000,2,1.000,58,false
31.000,3,1.000,75,false
31.000,4,2.000,123,false
32.000,0,0.000,22,false
32.000,1,0.000,48,false
32.000,2,1.000,59,false
32.000,3,4.000,79,false
32.000,4,0.000,123,false
33.000,0,0.000,22,false
33.000,1,1.000,49,false
33.000,2,3.000,61,false
33.000,3,3.000,82,false
33.000,4,4.000,127,false
34.000,0,0.000,22,false
34.000,1,1.000,49,false
34.000,2,1.000,62,false
34.000,3,6.000,88,false
34.000,4,3.000,130,false
35.000,0,1.000,22,false
35.000,1,1.000,50,false
35.000,2,3.000,65,false
35.000,3,7.000,95,false
35.000,4,3.000,133,false
36.000,0,0.000,22,false
36.000,1,0.000,50,false
36.000,2,1.000,65,false
36.000,3,1.000,96,false
36.000,4,2.000,135,false
37.000,0,2.000,24,false
37.000,1,1.000,51,false
37.000,2,1.000,66,false
37.000,3,4.000,100,false
37.000,4,5.000,140,false
38.000,0,0.000,24,false
38.000,1,0.000,51,false
38.000,2,1.000,67,false
38.000,3,7.000,107,false
38.000,4,2.000,142,false
39.000,0,0.000,24,false
39.000,1,4.000,55,false
39.000,2,3.000,70,false
39.000,3,9.000,115,false
39.000,4,2.000,144,false
40.000,0,0.000,24,false
40.000,1,4.000,59,false
40.000,2,0.000,70,false
40.000,3,5.000,120,false
40.000,4,2.000,146,false
41.000,0,1.000,24,false
41.000,1,0.000,58,false
41.000,2,4.000,74,false
41.000,3,7.000,127,false
41.000,4,3.000,149,false
42.000,0,1.000,25,false
42.000,1,1.000,59,false
42.000,2,1.000,74,false
42.000,3,2.000,129,false
42.000,4,5.000,154,false
43.000,0,1.000,25,false
43.000,1,1.000,60,false
43.000,2,0.000,74,false
43.000,3,6.000,135,false
43.000,4,11.000,165,false
44.000,0,1.000,26,false
44.000,1,4.000,64,false
44.000,2,1.000,75,false
44.000,3,6.000,130,false
44.000,4,2.000,167,false
45.000,0,0.000,26,false
45.000,1,0.000,64,false
45.000,2,2.000,77,false
45.000,3,5.000,135,false
45.000,4,0.000,166,false
46.000,0,0.000,26,false
46.000,1,2.000,66,false
46.000,2,1.000,78,false
46.000,3,4.000,139,false
46.000,4,2.000,168,false
47.000,0,1.000,27,false
47.000,1,0.000,66,false
47.000,2,1.000,78,false
47.000,3,3.000,142,false
47.000,4,3.000,171,false
48.000,0,0.000,27,false
48.000,1,1.000,67,false
48.000,2,2.000,80,false
48.000,3,5.000,147,false
48.000,4,3.000,174,false
49.000,0,1.000,27,false
49.000,1,2.000,68,false
49.000,2,4.000,84,false
49.000,3,3.000,150,false
49.000,4,6.000,180,false
50.000,0,2.000,29,false
50.000,1,4.000,72,false
50.000,2,1.000,85,false
50.000,3,1.000,151,false
50.000,4,2.000,182,false
51.000,0,1.000,30,false
51.000,1,1.000,73,false
51.000,2,4.000,89,false
51.000,3,2.000,153,false
51.000,4,4.000,185,false
52.000,0,0.000,30,false
52.000,1,0.000,72,false
52.000,2,1.000,90,false
52.000,3,5.000,158,false
52.000,4,3.000,188,false
53.000,0,1.000,30,false
53.000,1,1.000,73,false
53.000,2,2.000,92,false
53.000,3,4.000,162,false
53.000,4,3.000,191,false
54.000,0,1.000,31,false
54.000,1,2.000,75,false
54.000,2,4.000,95,false
54.000,3,5.000,156,false
54.000,4,5.000,196,false
55.000,0,2.000,33,false
55.000,1,2.000,66,false
55.000,2,0.000,95,false
55.000,3,5.000,161,false
55.000,4,1.000,197,false
56.000,0,0.000,33,false
56.000,1,0.000,66,false
56.000,2,2.000,97,false
56.000,3,4.000,165,false
56.000,4,6.000,203,false
57.000,0,0.000,33,false
57.000,1,3.000,69,false
57.000,2,3.000,100,false
57.000,3,7.000,172,false
57.000,4,4.000,207,false
58.000,0,2.000,34,false
58.000,1,1.000,70,false
58.000,2,2.000,102,false
58.000,3,2.000,174,false
58.000,4,4.000,210,false
59.000,0,0.000,34,false
59.000,1,1.000,71,false
59.000,2,0.000,102,false
59.000,3,7.000,181,false
59.000,4,4.000,214,false
60.000,0,0.000,34,false
60.000,1,1.000,72,false
60.000,2,3.000,104,false
60.000,3,7.000,188,false
60.000,4,6.000,220,false
61.000,0,1.000,35,false
