time,event,task_id,node_id,priority,steps,complexity,deadline,base_execution_time,delay_multiplier,rough_score,details
0.000,ARRIVED,1,0,3,15,5.372,44.806,6.369,1.953,0.000000,
0.000,STARTED,1,0,3,15,5.372,44.806,6.369,1.953,0.000000,observed_rate=1.000
0.000,ARRIVED,2,1,6,8,1.691,71.383,3.931,2.910,0.000000,
0.000,ARRIVED,3,1,9,12,3.205,45.876,6.923,1.000,0.000000,
0.000,STARTED,2,1,6,8,1.691,71.383,3.931,2.910,0.000000,observed_rate=2.000
0.000,OFFLOADED,3,1,9,12,3.205,45.876,6.923,1.000,2.000000,observed_rate=2.000;rough_score=2.000000;destination_node=-1;destination_policy=DROP
0.000,ARRIVED,4,2,2,6,1.154,21.484,2.433,1.000,0.000000,
0.000,ARRIVED,5,2,10,9,6.441,47.562,7.755,2.071,0.000000,
0.000,STARTED,4,2,2,6,1.154,21.484,2.433,1.000,0.000000,observed_rate=2.000
0.000,ARRIVED,6,3,2,9,1.455,101.385,2.673,1.000,0.000000,
0.000,ARRIVED,7,3,6,18,3.525,108.540,5.795,1.000,0.000000,
0.000,ARRIVED,8,3,6,4,5.676,64.571,6.162,2.545,0.000000,
0.000,STARTED,6,3,2,9,1.455,101.385,2.673,1.000,0.000000,observed_rate=3.000
0.000,ARRIVED,9,4,3,6,9.087,82.927,2.853,1.000,0.000000,
0.000,ARRIVED,10,4,6,9,2.061,106.558,6.777,1.000,0.000000,
0.000,ARRIVED,11,4,1,19,6.356,56.597,3.655,2.061,0.000000,
0.000,STARTED,9,4,3,6,9.087,82.927,2.853,1.000,0.000000,observed_rate=3.000
1.000,ARRIVED,12,0,7,16,4.732,91.887,6.266,1.633,0.000000,
1.000,ARRIVED,13,1,10,20,9.748,43.193,6.386,1.948,0.000000,
1.000,ARRIVED,14,1,9,19,5.088,29.531,6.149,2.860,0.000000,
1.000,ARRIVED,15,1,9,5,5.237,119.843,7.173,1.000,0.000000,
1.000,ARRIVED,16,3,5,19,2.290,113.190,7.368,1.000,0.000000,
1.000,ARRIVED,17,3,1,13,9.132,94.849,4.045,1.000,0.000000,
1.000,ARRIVED,18,3,2,5,2.022,30.463,4.476,1.000,0.000000,
1.000,ARRIVED,19,4,1,6,2.293,77.936,6.812,1.000,0.000000,
1.000,ARRIVED,20,4,5,3,5.810,91.060,2.407,1.000,0.000000,
1.000,ARRIVED,21,4,8,12,3.581,43.921,5.542,1.000,0.000000,
1.000,ARRIVED,22,4,10,20,4.584,115.474,3.389,1.807,0.000000,
2.000,ARRIVED,23,0,3,8,1.928,76.619,5.716,1.853,0.000000,
2.000,ARRIVED,24,1,1,7,5.817,96.610,3.283,1.000,0.000000,
2.000,ARRIVED,25,1,5,18,5.226,84.904,5.385,2.263,0.000000,
2.000,ARRIVED,26,2,4,7,8.988,94.402,7.233,1.000,0.000000,
2.000,ARRIVED,27,2,6,14,1.432,56.496,5.002,1.000,0.000000,
2.000,ARRIVED,28,3,1,16,7.163,47.358,7.518,1.000,0.000000,
2.000,ARRIVED,29,3,1,5,3.091,112.418,4.951,1.000,0.000000,
2.000,ARRIVED,30,3,10,11,9.589,70.880,3.476,2.433,0.000000,
2.000,ARRIVED,31,3,10,13,3.543,40.031,2.645,2.859,0.000000,
2.000,ARRIVED,32,3,10,19,2.473,46.888,7.154,1.000,0.000000,
2.000,ARRIVED,33,3,10,7,6.682,78.183,6.889,1.000,0.000000,
2.000,ARRIVED,34,4,3,12,3.904,73.348,4.358,1.000,0.000000,
2.000,ARRIVED,35,4,9,12,2.425,103.796,5.909,1.981,0.000000,
2.000,ARRIVED,36,4,2,6,7.145,67.783,7.999,1.000,0.000000,
2.000,ARRIVED,37,4,10,12,1.065,112.323,6.809,1.000,0.000000,
2.000,ARRIVED,38,4,5,14,3.447,31.220,5.331,2.779,0.000000,
2.000,ARRIVED,39,4,8,8,5.077,75.278,3.369,1.000,0.000000,
2.000,ARRIVED,40,4,10,20,3.255,55.344,6.111,1.000,0.000000,
2.000,ARRIVED,41,4,3,10,3.426,120.621,3.438,1.000,0.000000,
2.000,ARRIVED,42,4,2,10,8.012,32.787,7.723,1.000,0.000000,
2.433,FINISHED,4,2,2,6,1.154,21.484,2.433,1.000,0.000000,
2.433,STARTED,5,2,10,9,6.441,47.562,7.755,2.071,0.000000,observed_rate=2.000
2.673,FINISHED,6,3,2,9,1.455,101.385,2.673,1.000,0.000000,
2.673,STARTED,7,3,6,18,3.525,108.540,5.795,1.000,0.000000,observed_rate=6.000
2.853,FINISHED,9,4,3,6,9.087,82.927,2.853,1.000,0.000000,
2.853,STARTED,10,4,6,9,2.061,106.558,6.777,1.000,0.000000,observed_rate=9.000
3.000,ARRIVED,43,0,8,14,3.787,23.941,7.123,1.000,0.000000,
3.000,ARRIVED,44,0,1,20,5.246,117.077,4.750,1.000,0.000000,
3.000,ARRIVED,45,0,10,17,5.013,105.188,7.803,1.000,0.000000,
3.000,ARRIVED,46,2,6,1,9.543,89.580,5.969,1.000,0.000000,
3.000,ARRIVED,47,2,6,16,3.973,60.450,3.995,1.000,0.000000,
3.000,ARRIVED,48,2,5,11,7.676,28.967,7.347,1.000,0.000000,
3.000,ARRIVED,49,2,7,16,5.423,100.372,6.519,1.708,0.000000,
3.000,ARRIVED,50,3,1,6,1.817,116.929,6.403,1.000,0.000000,
3.000,ARRIVED,51,3,5,8,7.384,46.622,6.528,1.000,0.000000,
3.000,ARRIVED,52,3,9,5,4.319,97.345,2.305,1.000,0.000000,
3.000,ARRIVED,53,3,10,11,6.580,42.268,5.512,1.000,0.000000,
3.000,ARRIVED,54,3,1,9,2.025,81.285,5.788,1.681,0.000000,
3.000,ARRIVED,55,4,2,15,7.161,107.596,2.338,1.000,0.000000,
3.000,ARRIVED,56,4,5,8,3.256,110.629,4.604,1.000,0.000000,
3.000,ARRIVED,57,4,10,20,4.027,30.133,2.742,1.000,0.000000,
3.000,ARRIVED,58,4,1,20,5.485,112.659,2.013,1.000,0.000000,
