time,event,task_id,node_id,priority,steps,complexity,deadline,base_execution_time,delay_multiplier,rough_score,details
0.000,ARRIVED,1,0,10,13,3.480,27.735,4.123,1.000,0.000000,
0.000,STARTED,1,0,10,13,3.480,27.735,4.123,1.000,0.000000,observed_rate=1.000
0.000,ARRIVED,2,1,6,16,6.471,68.129,3.650,2.381,0.000000,
0.000,ARRIVED,3,1,9,18,6.263,39.767,5.010,1.000,0.000000,
0.000,STARTED,2,1,6,16,6.471,68.129,3.650,2.381,0.000000,observed_rate=2.000
0.000,OFFLOADED,3,1,9,18,6.263,39.767,5.010,1.000,2.000000,observed_rate=2.000;rough_score=2.000000;destination_node=0;destination_policy=LEAST_QUEUE
0.000,RECEIVED_OFFLOAD,3,0,9,18,6.263,39.767,5.010,1.000,2.000000,source_node=1;rough_score=2.000000
0.000,ARRIVED,4,2,7,8,3.168,117.695,7.799,1.000,0.000000,
0.000,ARRIVED,5,2,2,7,2.210,99.071,4.083,1.000,0.000000,
0.000,STARTED,4,2,7,8,3.168,117.695,7.799,1.000,0.000000,observed_rate=2.000
0.000,ARRIVED,6,3,1,6,4.639,44.966,4.390,1.000,0.000000,
0.000,ARRIVED,7,3,9,2,6.838,37.341,4.895,1.000,0.000000,
0.000,ARRIVED,8,3,8,17,9.160,77.543,3.700,1.000,0.000000,
0.000,ARRIVED,9,3,10,16,9.731,51.702,3.226,1.000,0.000000,
0.000,ARRIVED,10,3,5,8,8.736,50.965,3.770,1.793,0.000000,
0.000,STARTED,6,3,1,6,4.639,44.966,4.390,1.000,0.000000,observed_rate=5.000
0.000,ARRIVED,11,4,1,1,9.032,38.273,7.823,1.000,0.000000,
0.000,ARRIVED,12,4,10,13,3.913,34.754,7.073,1.000,0.000000,
0.000,ARRIVED,13,4,8,3,8.757,112.123,4.350,1.000,0.000000,
0.000,ARRIVED,14,4,10,11,4.378,51.969,4.559,1.000,0.000000,
0.000,STARTED,11,4,1,1,9.032,38.273,7.823,1.000,0.000000,observed_rate=4.000
1.000,ARRIVED,15,0,1,1,6.049,71.598,3.376,1.000,0.000000,
1.000,ARRIVED,16,2,9,9,1.148,49.349,7.350,2.245,0.000000,
1.000,ARRIVED,17,4,10,15,1.185,97.951,2.597,1.000,0.000000,
1.000,ARRIVED,18,4,2,19,9.142,76.321,7.664,1.000,0.000000,
1.000,ARRIVED,19,4,9,13,5.537,37.206,4.692,2.784,0.000000,
1.000,ARRIVED,20,4,5,5,2.235,93.177,5.497,1.000,0.000000,
2.000,ARRIVED,21,1,10,2,3.807,103.907,7.337,1.000,0.000000,
2.000,ARRIVED,22,2,2,4,2.518,29.953,5.208,1.000,0.000000,
2.000,ARRIVED,23,2,1,6,1.986,41.675,6.766,1.000,0.000000,
2.000,ARRIVED,24,3,3,20,2.699,76.549,7.865,1.000,0.000000,
2.000,ARRIVED,25,3,7,11,6.459,55.904,6.704,1.000,0.000000,
2.000,ARRIVED,26,3,3,2,7.702,61.254,3.437,1.000,0.000000,
2.000,ARRIVED,27,3,10,12,6.671,73.421,2.566,2.335,0.000000,
2.000,ARRIVED,28,3,1,5,1.530,113.611,4.658,2.488,0.000000,
2.000,ARRIVED,29,3,5,4,3.816,94.717,6.160,2.584,0.000000,
2.000,ARRIVED,30,3,1,6,6.209,68.715,3.302,1.000,0.000000,
2.000,ARRIVED,31,4,4,13,8.227,97.272,4.088,2.855,0.000000,
2.000,ARRIVED,32,4,10,17,4.247,83.310,6.995,1.000,0.000000,
2.000,ARRIVED,33,4,7,7,4.435,50.658,3.551,1.000,0.000000,
2.000,ARRIVED,34,4,7,5,3.374,42.766,5.036,1.000,0.000000,
2.000,ARRIVED,35,4,10,4,4.109,87.011,7.859,1.000,0.000000,
2.000,ARRIVED,36,4,7,6,4.810,109.078,3.415,1.000,0.000000,
3.000,ARRIVED,37,0,9,14,2.318,78.496,6.072,1.000,0.000000,
3.000,ARRIVED,38,1,4,4,3.960,50.075,2.540,1.000,0.000000,
3.000,ARRIVED,39,2,10,7,1.973,94.603,5.054,1.000,0.000000,
3.000,ARRIVED,40,3,10,5,7.851,36.887,7.225,1.000,0.000000,
3.000,ARRIVED,41,3,4,13,8.135,47.270,4.541,1.000,0.000000,
3.000,ARRIVED,42,3,9,20,6.497,39.122,7.449,1.858,0.000000,
3.000,ARRIVED,43,3,8,3,2.379,66.288,4.893,1.000,0.000000,
3.000,ARRIVED,44,3,1,9,5.415,122.869,2.636,2.812,0.000000,
3.000,ARRIVED,45,4,2,12,3.524,48.072,4.711,1.000,0.000000,
3.000,ARRIVED,46,4,1,13,6.986,47.955,7.581,1.000,0.000000,
3.000,ARRIVED,47,4,6,4,2.178,23.038,3.495,1.000,0.000000,
3.000,ARRIVED,48,4,10,19,7.634,108.755,4.092,1.000,0.000000,
3.000,ARRIVED,49,4,5,12,3.391,84.490,4.399,1.000,0.000000,
4.000,ARRIVED,50,1,5,9,8.991,88.564,5.713,2.593,0.000000,
4.000,ARRIVED,51,1,9,9,6.968,35.900,7.495,1.000,0.000000,
4.000,ARRIVED,52,2,2,5,6.026,44.409,2.622,1.000,0.000000,
4.000,ARRIVED,53,3,2,7,4.240,89.592,4.226,2.687,0.000000,
4.000,ARRIVED,54,4,3,15,1.029,25.916,6.737,1.000,0.000000,
4.000,ARRIVED,55,4,2,9,8.621,103.810,5.673,1.000,0.000000,
4.000,ARRIVED,56,4,8,18,1.329,96.886,4.206,2.574,0.000000,
4.123,FINISHED,1,0,10,13,3.480,27.735,4.123,1.000,0.000000,
4.123,STARTED,3,0,9,18,6.263,39.767,5.010,1.000,2.000000,observed_rate=0.000
4.390,FINISHED,6,3,1,6,4.639,44.966,4.390,1.000,0.000000,
4.390,STARTED,7,3,9,2,6.838,37.341,4.895,1.000,0.000000,observed_rate=1.000
5.000,ARRIVED,57,1,3,15,6.262,31.179,5.291,1.000,0.000000,
5.000,ARRIVED,58,1,7,6,9.582,105.552,3.925,1.708,0.000000,
5.000,ARRIVED,59,1,3,19,4.872,89.618,7.514,1.000,0.000000,
5.000,ARRIVED,60,1,7,14,9.825,56.955,5.514,1.000,0.000000,
5.000,ARRIVED,61,2,7,13,5.310,58.057,4.238,1.000,0.000000,
5.000,ARRIVED,62,3,6,12,7.892,78.132,5.253,2.447,0.000000,
5.000,ARRIVED,63,3,7,3,1.039,77.741,7.045,2.206,0.000000,
5.000,ARRIVED,64,4,1,5,9.667,116.671,2.607,1.000,0.000000,
5.000,ARRIVED,65,4,9,3,8.437,86.156,7.104,1.000,0.000000,
5.000,ARRIVED,66,4,10,17,5.665,54.576,7.181,1.000,0.000000,
5.000,ARRIVED,67,4,5,7,8.433,116.209,3.270,1.000,0.000000,
6.000,ARRIVED,68,1,4,2,3.171,57.744,6.840,1.000,0.000000,
6.000,ARRIVED,69,3,4,10,9.871,45.184,3.734,2.040,0.000000,
6.000,ARRIVED,70,3,7,18,8.315,73.976,6.208,1.000,0.000000,
6.000,ARRIVED,71,4,9,18,4.569,32.392,4.709,1.000,0.000000,
6.000,ARRIVED,72,4,3,12,7.895,27.377,7.782,2.217,0.000000,
6.000,ARRIVED,73,4,6,11,4.734,77.942,4.115,1.000,0.000000,
6.000,ARRIVED,74,4,3,16,8.023,28.220,3.310,1.000,0.000000,
6.000,ARRIVED,75,4,1,19,5.000,107.844,5.672,2.078,0.000000,
7.000,ARRIVED,76,1,5,2,7.464,81.132,7.453,1.000,0.000000,
7.000,ARRIVED,77,1,3,10,2.435,101.424,4.527,1.000,0.000000,
7.000,ARRIVED,78,1,9,15,9.296,40.658,3.197,1.000,0.000000,
7.000,ARRIVED,79,2,9,3,7.761,43.558,7.561,1.000,0.000000,
7.000,ARRIVED,80,2,8,1,9.424,83.574,3.088,1.000,0.000000,
7.000,ARRIVED,81,2,10,11,8.580,69.622,7.595,2.234,0.000000,
7.000,ARRIVED,82,2,3,12,5.932,70.017,7.995,1.782,0.000000,
7.000,ARRIVED,83,2,6,11,5.251,71.587,4.706,1.000,0.000000,
7.000,ARRIVED,84,3,9,10,9.021,106.932,4.147,1.000,0.000000,
7.000,ARRIVED,85,4,3,13,9.724,80.341,7.825,1.000,0.000000,
7.799,FINISHED,4,2,7,8,3.168,117.695,7.799,1.000,0.000000,
7.799,STARTED,5,2,2,7,2.210,99.071,4.083,1.000,0.000000,observed_rate=5.000
7.823,FINISHED,11,4,1,1,9.032,38.273,7.823,1.000,0.000000,
7.823,STARTED,12,4,10,13,3.913,34.754,7.073,1.000,0.000000,observed_rate=1.000
8.000,ARRIVED,86,1,2,8,1.868,92.585,2.288,2.594,0.000000,
8.000,ARRIVED,87,1,3,10,1.469,117.612,7.041,1.000,0.000000,
8.000,ARRIVED,88,1,9,19,4.194,38.693,2.920,1.000,0.000000,
8.000,ARRIVED,89,1,9,10,3.844,72.438,3.311,1.000,0.000000,
8.000,ARRIVED,90,2,7,5,3.067,106.983,4.599,2.830,0.000000,
8.000,ARRIVED,91,2,8,8,4.886,28.770,4.767,1.000,0.000000,
8.000,ARRIVED,92,3,6,20,7.225,34.909,4.263,1.000,0.000000,
8.000,ARRIVED,93,3,5,10,2.645,55.788,3.037,1.000,0.000000,
8.000,ARRIVED,94,4,9,14,7.409,76.215,2.436,1.000,0.000000,
8.000,ARRIVED,95,4,4,13,7.970,104.568,2.092,2.039,0.000000,
8.000,ARRIVED,96,4,10,7,1.314,125.689,5.444,1.746,0.000000,
8.000,ARRIVED,97,4,8,5,7.897,55.119,7.258,1.000,0.000000,
8.000,ARRIVED,98,4,7,10,8.230,68.286,2.815,1.000,0.000000,
8.000,ARRIVED,99,4,7,6,1.213,36.728,2.139,1.857,0.000000,
8.691,FINISHED,2,1,6,16,6.471,68.129,3.650,2.381,0.000000,
8.691,STARTED,21,1,10,2,3.807,103.907,7.337,1.000,0.000000,observed_rate=4.000
9.000,ARRIVED,100,1,1,3,6.058,102.615,4.008,2.658,0.000000,
9.000,ARRIVED,101,2,6,20,5.349,117.342,7.900,2.850,0.000000,
9.000,ARRIVED,102,2,8,15,2.294,62.396,5.354,1.000,0.000000,
9.000,ARRIVED,103,2,6,17,9.185,78.682,7.507,1.000,0.000000,
9.000,ARRIVED,104,2,3,3,6.343,86.539,4.841,1.000,0.000000,
9.000,ARRIVED,105,3,4,10,7.936,45.346,6.648,1.000,0.000000,
9.000,ARRIVED,106,3,7,13,2.017,127.418,5.152,1.000,0.000000,
9.000,ARRIVED,107,3,6,12,3.391,47.988,2.335,1.000,0.000000,
9.000,ARRIVED,108,4,4,9,4.514,96.825,6.952,1.000,0.000000,
9.133,FINISHED,3,0,9,18,6.263,39.767,5.010,1.000,2.000000,
9.133,STARTED,15,0,1,1,6.049,71.598,3.376,1.000,0.000000,observed_rate=0.000
9.285,FINISHED,7,3,9,2,6.838,37.341,4.895,1.000,0.000000,
9.285,STARTED,8,3,8,17,9.160,77.543,3.700,1.000,0.000000,observed_rate=3.000
10.000,ARRIVED,109,0,6,16,6.464,86.375,7.986,1.863,0.000000,
10.000,ARRIVED,110,1,2,2,2.869,103.307,3.215,1.000,0.000000,
10.000,ARRIVED,111,2,3,16,7.744,129.836,3.192,1.000,0.000000,
10.000,ARRIVED,112,3,5,10,5.719,111.275,4.460,1.000,0.000000,
10.000,ARRIVED,113,3,4,16,3.598,48.341,4.412,1.000,0.000000,
10.000,ARRIVED,114,3,4,3,9.317,48.799,5.841,1.000,0.000000,
10.000,ARRIVED,115,4,1,8,4.356,47.259,5.579,1.000,0.000000,
10.000,ARRIVED,116,4,7,15,1.948,54.009,5.620,1.000,0.000000,
10.000,ARRIVED,117,4,9,12,1.620,70.908,3.156,1.000,0.000000,
10.000,ARRIVED,118,4,7,16,7.510,59.086,3.170,1.923,0.000000,
