time,event,task_id,node_id,priority,steps,complexity,deadline,base_execution_time,delay_multiplier,rough_score,details
0.000,ARRIVED,1,1,5,3,3.959,73.966,4.701,1.000,0.000000,
0.000,STARTED,1,1,5,3,3.959,73.966,4.701,1.000,0.000000,observed_rate=1.000
0.000,ARRIVED,2,2,1,10,6.695,96.246,2.604,1.000,0.000000,
0.000,ARRIVED,3,2,8,1,1.319,74.637,4.928,1.000,0.000000,
0.000,ARRIVED,4,2,10,5,2.503,47.260,4.255,2.966,0.000000,
0.000,ARRIVED,5,2,6,14,4.859,41.840,4.138,2.012,0.000000,
0.000,STARTED,2,2,1,10,6.695,96.246,2.604,1.000,0.000000,observed_rate=4.000
0.000,ARRIVED,6,4,4,4,2.178,95.010,4.956,1.000,0.000000,
0.000,ARRIVED,7,4,10,4,5.010,57.529,3.802,1.000,0.000000,
0.000,ARRIVED,8,4,5,11,7.186,83.157,4.992,1.000,0.000000,
0.000,ARRIVED,9,4,6,16,9.944,103.142,3.145,1.000,0.000000,
0.000,ARRIVED,10,4,5,3,6.528,99.973,7.268,1.000,0.000000,
0.000,STARTED,6,4,4,4,2.178,95.010,4.956,1.000,0.000000,observed_rate=5.000
1.000,ARRIVED,11,1,2,20,5.350,118.528,3.771,1.000,0.000000,
1.000,ARRIVED,12,2,4,15,5.057,83.039,7.281,1.000,0.000000,
1.000,ARRIVED,13,2,4,17,3.174,29.422,7.736,1.000,0.000000,
1.000,ARRIVED,14,3,7,9,2.852,67.179,2.434,1.000,0.000000,
1.000,ARRIVED,15,3,4,20,9.204,120.609,2.397,1.000,0.000000,
1.000,ARRIVED,16,3,2,5,8.527,64.367,6.187,2.336,0.000000,
1.000,ARRIVED,17,3,1,2,5.297,24.607,4.816,1.725,0.000000,
1.000,ARRIVED,18,3,9,20,6.529,113.404,4.810,2.697,0.000000,
1.000,STARTED,14,3,7,9,2.852,67.179,2.434,1.000,0.000000,observed_rate=5.000
1.000,ARRIVED,19,4,2,3,7.650,112.118,6.262,1.670,0.000000,
1.000,ARRIVED,20,4,8,12,1.295,73.809,6.938,1.000,0.000000,
1.000,ARRIVED,21,4,7,4,6.393,62.125,4.754,1.000,0.000000,
1.000,ARRIVED,22,4,10,2,4.463,102.390,4.278,2.663,0.000000,
1.000,ARRIVED,23,4,3,2,7.494,57.955,5.614,1.000,0.000000,
1.000,ARRIVED,24,4,5,1,4.854,100.003,7.277,1.952,0.000000,
1.000,ARRIVED,25,4,8,2,9.003,68.043,2.367,2.605,0.000000,
1.000,ARRIVED,26,4,9,3,2.344,67.003,7.692,1.000,0.000000,
