time,node_id,observed_arrival_rate,waiting_queue_size,idle
0.000,0,3.000,3,true
0.000,1,1.000,1,true
0.000,2,3.000,3,true
0.000,3,2.000,2,true
0.000,4,5.000,5,true
1.000,0,1.000,3,false
1.000,1,0.000,0,false
1.000,2,1.000,2,false
1.000,3,3.000,4,false
1.000,4,5.000,9,false
2.000,0,1.000,4,false
2.000,1,1.000,1,false
2.000,2,2.000,4,false
2.000,3,2.000,6,false
2.000,4,3.000,12,false
3.000,0,0.000,4,false
3.000,1,1.000,1,false
3.000,2,1.000,5,false
3.000,3,4.000,10,false
3.000,4,4.000,16,false
4.000,0,2.000,6,false
4.000,1,2.000,3,false
4.000,2,1.000,6,false
4.000,3,3.000,13,false
4.000,4,6.000,21,false
5.000,0,2.000,8,false
5.000,1,0.000,3,false
5.000,2,1.000,7,false
5.000,3,7.000,20,false
5.000,4,7.000,28,false
6.000,0,0.000,8,false
6.000,1,2.000,5,false
6.000,2,2.000,9,false
6.000,3,5.000,25,false
6.000,4,3.000,31,false
7.000,0,3.000,11,false
7.000,1,1.000,6,false
7.000,2,4.000,12,false
7.000,3,0.000,25,false
7.000,4,3.000,34,false
8.000,0,1.000,11,false
8.000,1,3.000,9,false
8.000,2,0.000,12,false
8.000,3,2.000,27,false
8.000,4,5.000,39,false
9.000,0,0.000,11,false
9.000,1,0.000,9,false
9.000,2,1.000,12,false
9.000,3,3.000,30,false
9.000,4,5.000,44,false
10.000,0,2.000,13,false
10.000,1,1.000,10,false
10.000,2,1.000,13,false
10.000,3,1.000,31,false
10.000,4,5.000,49,false
11.000,0,0.000,13,false
11.000,1,0.000,9,false
11.000,2,0.000,13,false
11.000,3,1.000,32,false
11.000,4,3.000,51,false
12.000,0,0.000,12,false
12.000,1,1.000,10,false
12.000,2,3.000,16,false
12.000,3,7.000,39,false
12.000,4,0.000,51,false
13.000,0,0.000,12,false
13.000,1,0.000,10,false
13.000,2,1.000,17,false
13.000,3,1.000,40,false
13.000,4,1.000,52,false
14.000,0,1.000,13,false
14.000,1,0.000,10,false
14.000,2,0.000,17,false
14.000,3,4.000,43,false
14.000,4,2.000,54,false
15.000,0,0.000,12,false
15.000,1,0.000,10,false
15.000,2,2.000,19,false
15.000,3,5.000,48,false
15.000,4,6.000,60,false
16.000,0,0.000,12,false
16.000,1,4.000,14,false
16.000,2,3.000,21,false
16.000,3,4.000,52,false
16.000,4,3.000,62,false
17.000,0,0.000,12,false
17.000,1,1.000,15,false
17.000,2,0.000,21,false
17.000,3,4.000,56,false
17.000,4,2.000,64,false
18.000,0,1.000,13,false
18.000,1,0.000,14,false
18.000,2,0.000,21,false
18.000,3,4.000,60,false
18.000,4,3.000,67,false
19.000,0,3.000,16,false
19.000,1,0.000,14,false
19.000,2,0.000,21,false
19.000,3,2.000,61,false
19.000,4,3.000,70,false
20.000,0,0.000,16,false
20.000,1,1.000,15,false
20.000,2,2.000,23,false
20.000,3,3.000,64,false
20.000,4,3.000,73,false
21.000,0,0.000,16,false
21.000,1,0.000,15,false
21.000,2,1.000,24,false
21.000,3,2.000,66,false
21.000,4,2.000,75,false
22.000,0,1.000,17,false
22.000,1,2.000,17,false
22.000,2,4.000,28,false
22.000,3,4.000,70,false
22.000,4,3.000,77,false
23.000,0,1.000,18,false
23.000,1,0.000,17,false
23.000,2,3.000,31,false
23.000,3,3.000,67,false
23.000,4,8.000,85,false
24.000,0,0.000,18,false
24.000,1,3.000,20,false
24.000,2,1.000,32,false
24.000,3,1.000,68,false
24.000,4,7.000,92,false
25.000,0,2.000,20,false
25.000,1,1.000,21,false
25.000,2,3.000,35,false
25.000,3,2.000,70,false
25.000,4,2.000,94,false
26.000,0,0.000,20,false
26.000,1,2.000,23,false
26.000,2,0.000,35,false
26.000,3,1.000,71,false
26.000,4,4.000,98,false
27.000,0,1.000,21,false
27.000,1,1.000,24,false
27.000,2,1.000,36,false
27.000,3,0.000,71,false
27.000,4,2.000,100,false
28.000,0,2.000,23,false
28.000,1,2.000,26,false
28.000,2,3.000,39,false
28.000,3,3.000,74,false
28.000,4,4.000,103,false
29.000,0,0.000,22,false
29.000,1,3.000,28,false
29.000,2,2.000,40,false
29.000,3,4.000,78,false
29.000,4,5.000,108,false
30.000,0,0.000,22,false
30.000,1,2.000,30,false
30.000,2,3.000,43,false
30.000,3,3.000,81,false
30.000,4,5.000,113,false
31.000,0,0.000,22,false
31.000,1,0.000,30,false
31.000,2,2.000,45,false
31.000,3,3.000,84,false
31.000,4,5.000,118,false
32.000,0,0.000,22,false
32.000,1,3.000,33,false
32.000,2,4.000,49,false
32.000,3,5.000,88,false
32.000,4,5.000,123,false
33.000,0,2.000,23,false
33.000,1,2.000,35,false
33.000,2,3.000,52,false
33.000,3,3.000,91,false
33.000,4,2.000,125,false
34.000,0,2.000,25,false
34.000,1,3.000,38,false
34.000,2,3.000,55,false
34.000,3,2.000,87,false
34.000,4,6.000,131,false
35.000,0,0.000,25,false
35.000,1,2.000,40,false
35.000,2,1.000,56,false
35.000,3,2.000,89,false
35.000,4,5.000,135,false
36.000,0,0.000,25,false
36.000,1,0.000,39,false
36.000,2,3.000,58,false
36.000,3,9.000,98,false
36.000,4,2.000,137,false
37.000,0,4.000,29,false
37.000,1,2.000,41,false
37.000,2,1.000,59,false
37.000,3,1.000,99,false
37.000,4,4.000,141,false
38.000,0,1.000,30,false
38.000,1,0.000,41,false
38.000,2,2.000,60,false
38.000,3,5.000,104,false
38.000,4,4.000,145,false
39.000,0,1.000,31,false
39.000,1,1.000,42,false
39.000,2,2.000,62,false
39.000,3,2.000,106,false
39.000,4,9.000,154,false
40.000,0,1.000,32,false
40.000,1,2.000,43,false
40.000,2,0.000,62,false
40.000,3,4.000,110,false
40.000,4,2.000,156,false
41.000,0,0.000,32,false
41.000,1,1.000,44,false
41.000,2,1.000,63,false
41.000,3,3.000,113,false
41.000,4,4.000,160,false
42.000,0,0.000,32,false
42.000,1,0.000,44,false
42.000,2,1.000,64,false
42.000,3,3.000,116,false
42.000,4,6.000,160,false
43.000,0,1.000,33,false
43.000,1,0.000,44,false
43.000,2,5.000,69,false
43.000,3,2.000,117,false
43.000,4,4.000,164,false
44.000,0,0.000,33,false
44.000,1,2.000,46,false
44.000,2,0.000,69,false
44.000,3,2.000,119,false
44.000,4,1.000,165,false
45.000,0,0.000,33,false
45.000,1,2.000,47,false
45.000,2,3.000,71,false
45.000,3,3.000,122,false
45.000,4,3.000,168,false
46.000,0,0.000,33,false
46.000,1,2.000,49,false
46.000,2,6.000,77,false
46.000,3,1.000,122,false
46.000,4,4.000,172,false
47.000,0,1.000,34,false
47.000,1,1.000,50,false
47.000,2,2.000,79,false
47.000,3,6.000,128,false
47.000,4,3.000,175,false
48.000,0,0.000,34,false
48.000,1,0.000,50,false
48.000,2,0.000,79,false
48.000,3,5.000,133,false
48.000,4,3.000,178,false
49.000,0,0.000,34,false
49.000,1,3.000,53,false
49.000,2,1.000,80,false
49.000,3,5.000,137,false
49.000,4,1.000,179,false
50.000,0,1.000,34,false
50.000,1,3.000,56,false
50.000,2,2.000,82,false
50.000,3,1.000,138,false
50.000,4,3.000,182,false
51.000,0,1.000,35,false
51.000,1,2.000,58,false
51.000,2,1.000,83,false
51.000,3,5.000,143,false
51.000,4,6.000,187,false
52.000,0,0.000,35,false
52.000,1,0.000,57,false
52.000,2,3.000,86,false
52.000,3,7.000,150,false
52.000,4,4.000,191,false
53.000,0,0.000,34,false
53.000,1,2.000,59,false
53.000,2,1.000,87,false
53.000,3,1.000,151,false
53.000,4,4.000,195,false
54.000,0,0.000,34,false
54.000,1,0.000,59,false
54.000,2,0.000,86,false
54.000,3,6.000,157,false
54.000,4,2.000,197,false
55.000,0,1.000,35,false
55.000,1,1.000,59,false
55.000,2,3.000,89,false
55.000,3,4.000,161,false
55.000,4,5.000,202,false
56.000,0,2.000,37,false
56.000,1,2.000,61,false
56.000,2,1.000,90,false
56.000,3,5.000,166,false
56.000,4,3.000,199,false
57.000,0,0.000,37,false
57.000,1,5.000,66,false
57.000,2,2.000,92,false
57.000,3,1.000,166,false
57.000,4,3.000,202,false
58.000,0,0.000,37,false
58.000,1,0.000,60,false
58.000,2,2.000,94,false
58.000,3,4.000,170,false
58.000,4,3.000,205,false
59.000,0,0.000,37,false
59.000,1,4.000,64,false
59.000,2,0.000,94,false
59.000,3,3.000,173,false
59.000,4,3.000,208,false
60.000,0,1.000,38,false
60.000,1,0.000,64,false
60.000,2,3.000,97,false
60.000,3,2.000,175,false
60.000,4,8.000,216,false
61.000,0,1.000,38,false
