time,event,task_id,node_id,priority,steps,complexity,deadline,base_execution_time,delay_multiplier,rough_score,details
0.000,ARRIVED,1,0,2,17,6.640,99.216,2.110,1.951,0.000000,
0.000,ARRIVED,2,0,8,12,4.904,77.665,5.661,1.000,0.000000,
0.000,ARRIVED,3,0,6,18,3.749,92.533,3.996,2.223,0.000000,
0.000,STARTED,1,0,2,17,6.640,99.216,2.110,1.951,0.000000,observed_rate=3.000
0.000,OFFLOADED,2,0,8,12,4.904,77.665,5.661,1.000,0.000000,observed_rate=3.000;rough_score=0.000000;destination_node=-1;destination_policy=DROP
0.000,ARRIVED,4,1,1,17,3.321,23.912,7.548,1.000,0.000000,
0.000,STARTED,4,1,1,17,3.321,23.912,7.548,1.000,0.000000,observed_rate=1.000
0.000,ARRIVED,5,2,9,10,7.450,48.922,6.240,2.398,0.000000,
0.000,ARRIVED,6,2,5,17,2.675,45.749,5.309,1.000,0.000000,
0.000,ARRIVED,7,2,9,20,3.584,98.507,5.174,2.954,0.000000,
0.000,STARTED,5,2,9,10,7.450,48.922,6.240,2.398,0.000000,observed_rate=3.000
0.000,OFFLOADED,6,2,5,17,2.675,45.749,5.309,1.000,0.000000,observed_rate=3.000;rough_score=0.000000;destination_node=-1;destination_policy=DROP
0.000,ARRIVED,8,3,1,1,2.720,48.791,4.517,1.000,0.000000,
0.000,ARRIVED,9,3,4,17,4.313,112.048,4.291,1.000,0.000000,
0.000,STARTED,8,3,1,1,2.720,48.791,4.517,1.000,0.000000,observed_rate=2.000
0.000,ARRIVED,10,4,10,11,2.872,61.388,6.688,1.000,0.000000,
0.000,STARTED,10,4,10,11,2.872,61.388,6.688,1.000,0.000000,observed_rate=1.000
1.000,ARRIVED,11,0,10,4,8.852,103.057,4.711,1.000,0.000000,
1.000,ARRIVED,12,3,7,11,2.052,50.980,6.140,1.000,0.000000,
1.000,ARRIVED,13,3,9,14,3.817,90.335,6.590,1.567,0.000000,
1.000,ARRIVED,14,3,5,11,1.232,41.241,2.016,1.000,0.000000,
1.000,ARRIVED,15,3,1,9,7.650,105.440,7.294,1.000,0.000000,
1.000,ARRIVED,16,3,6,2,7.810,48.089,7.055,1.000,0.000000,
1.000,ARRIVED,17,3,1,12,9.576,79.869,4.065,1.000,0.000000,
1.000,ARRIVED,18,4,5,3,7.392,84.336,7.935,1.000,0.000000,
1.000,ARRIVED,19,4,8,1,8.243,117.655,4.528,1.000,0.000000,
2.000,ARRIVED,20,0,2,16,2.071,53.383,3.608,2.707,0.000000,
2.000,ARRIVED,21,1,7,9,6.287,116.710,6.457,2.052,0.000000,
2.000,ARRIVED,22,2,6,1,5.580,71.138,5.569,1.000,0.000000,
2.000,ARRIVED,23,2,5,14,8.117,113.320,7.534,1.000,0.000000,
2.000,ARRIVED,24,2,9,12,6.968,74.025,4.209,1.000,0.000000,
2.000,ARRIVED,25,4,8,14,4.740,35.255,3.644,1.000,0.000000,
2.000,ARRIVED,26,4,2,10,2.877,46.645,7.108,1.000,0.000000,
3.000,ARRIVED,27,0,7,8,6.494,68.190,2.472,1.000,0.000000,
3.000,ARRIVED,28,1,3,16,5.418,41.010,5.690,1.000,0.000000,
3.000,ARRIVED,29,1,8,9,2.152,49.437,3.832,1.000,0.000000,
3.000,ARRIVED,30,2,1,3,2.808,118.072,7.544,1.000,0.000000,
3.000,ARRIVED,31,2,10,1,8.302,118.310,6.220,1.000,0.000000,
3.000,ARRIVED,32,3,8,4,3.975,93.835,3.511,1.000,0.000000,
3.000,ARRIVED,33,3,4,15,5.285,32.324,6.744,1.000,0.000000,
3.000,ARRIVED,34,3,6,13,2.818,70.534,4.561,1.000,0.000000,
3.000,ARRIVED,35,4,2,6,4.280,111.872,5.406,1.000,0.000000,
3.000,ARRIVED,36,4,8,8,5.453,71.192,3.662,1.000,0.000000,
4.000,ARRIVED,37,0,7,8,1.213,85.514,7.773,1.000,0.000000,
4.000,ARRIVED,38,1,1,18,2.121,34.190,7.406,1.000,0.000000,
4.000,ARRIVED,39,1,6,13,9.732,90.154,2.289,1.525,0.000000,
4.000,ARRIVED,40,1,8,1,9.608,59.832,3.749,2.197,0.000000,
4.000,ARRIVED,41,2,9,20,4.987,84.845,6.488,1.000,0.000000,
4.000,ARRIVED,42,2,8,10,2.098,109.547,5.218,2.962,0.000000,
4.000,ARRIVED,43,3,8,1,5.238,65.438,6.701,1.000,0.000000,
4.000,ARRIVED,44,4,5,13,5.602,31.174,7.195,1.000,0.000000,
4.000,ARRIVED,45,4,5,9,9.968,101.407,4.654,1.000,0.000000,
4.000,ARRIVED,46,4,8,11,3.227,62.490,7.236,1.000,0.000000,
4.000,ARRIVED,47,4,6,2,2.770,31.917,2.096,1.000,0.000000,
4.117,FINISHED,1,0,2,17,6.640,99.216,2.110,1.951,0.000000,
4.117,STARTED,3,0,6,18,3.749,92.533,3.996,2.223,0.000000,observed_rate=1.000
4.517,FINISHED,8,3,1,1,2.720,48.791,4.517,1.000,0.000000,
4.517,STARTED,9,3,4,17,4.313,112.048,4.291,1.000,0.000000,observed_rate=1.000
5.000,ARRIVED,48,0,9,20,9.328,51.058,2.268,1.000,0.000000,
5.000,ARRIVED,49,1,10,16,9.275,61.031,6.957,1.000,0.000000,
