time,node_id,observed_arrival_rate,waiting_queue_size,idle
0.000,0,1.000,1,true
0.000,1,1.000,1,true
0.000,2,4.000,4,true
0.000,3,6.000,6,true
0.000,4,2.000,2,true
1.000,0,1.000,1,false
1.000,1,3.000,3,false
1.000,2,1.000,4,false
1.000,3,4.000,9,false
1.000,4,7.000,8,false
2.000,0,1.000,2,false
2.000,1,0.000,3,false
2.000,2,5.000,9,false
2.000,3,2.000,11,false
2.000,4,3.000,11,false
3.000,0,1.000,3,false
3.000,1,1.000,4,false
3.000,2,1.000,10,false
3.000,3,2.000,13,false
3.000,4,7.000,17,false
4.000,0,0.000,3,false
4.000,1,2.000,5,false
4.000,2,1.000,11,false
4.000,3,3.000,16,false
4.000,4,8.000,25,false
5.000,0,1.000,4,false
5.000,1,1.000,6,false
5.000,2,3.000,14,false
5.000,3,4.000,20,false
5.000,4,1.000,26,false
6.000,0,0.000,4,false
6.000,1,0.000,6,false
6.000,2,3.000,17,false
6.000,3,4.000,24,false
6.000,4,3.000,28,false
7.000,0,0.000,4,false
7.000,1,1.000,7,false
7.000,2,4.000,21,false
7.000,3,1.000,25,false
7.000,4,4.000,32,false
8.000,0,0.000,3,false
8.000,1,2.000,9,false
8.000,2,2.000,22,false
8.000,3,1.000,25,false
8.000,4,3.000,35,false
9.000,0,1.000,4,false
9.000,1,0.000,9,false
9.000,2,4.000,26,false
9.000,3,0.000,25,false
9.000,4,3.000,38,false
10.000,0,1.000,5,false
10.000,1,1.000,10,false
10.000,2,4.000,30,false
10.000,3,1.000,26,false
10.000,4,4.000,42,false
11.000,0,0.000,5,false
11.000,1,1.000,10,false
11.000,2,1.000,31,false
11.000,3,4.000,30,false
11.000,4,2.000,44,false
12.000,0,0.000,5,false
12.000,1,2.000,12,false
12.000,2,2.000,33,false
12.000,3,0.000,29,false
12.000,4,5.000,49,false
13.000,0,2.000,7,false
13.000,1,2.000,14,false
13.000,2,2.000,35,false
13.000,3,5.000,34,false
13.000,4,2.000,50,false
14.000,0,0.000,7,false
14.000,1,1.000,15,false
14.000,2,2.000,37,false
14.000,3,2.000,36,false
14.000,4,5.000,55,false
15.000,0,1.000,7,false
15.000,1,0.000,15,false
15.000,2,8.000,45,false
15.000,3,7.000,43,false
15.000,4,7.000,62,false
16.000,0,1.000,8,false
16.000,1,0.000,15,false
16.000,2,3.000,48,false
16.000,3,2.000,45,false
16.000,4,5.000,66,false
17.000,0,1.000,9,false
17.000,1,2.000,17,false
17.000,2,3.000,51,false
17.000,3,3.000,48,false
17.000,4,6.000,72,false
18.000,0,0.000,9,false
18.000,1,0.000,16,false
18.000,2,1.000,52,false
18.000,3,0.000,48,false
18.000,4,5.000,76,false
19.000,0,0.000,9,false
19.000,1,1.000,17,false
19.000,2,3.000,55,false
19.000,3,2.000,50,false
19.000,4,3.000,79,false
20.000,0,1.000,10,false
20.000,1,1.000,18,false
20.000,2,2.000,57,false
20.000,3,2.000,52,false
20.000,4,2.000,81,false
21.000,0,0.000,10,false
21.000,1,1.000,19,false
21.000,2,0.000,56,false
21.000,3,2.000,53,false
21.000,4,3.000,84,false
22.000,0,1.000,11,false
22.000,1,0.000,18,false
22.000,2,2.000,58,false
22.000,3,2.000,55,false
22.000,4,3.000,87,false
23.000,0,0.000,11,false
23.000,1,5.000,23,false
23.000,2,1.000,59,false
23.000,3,3.000,58,false
23.000,4,7.000,94,false
24.000,0,0.000,11,false
24.000,1,3.000,26,false
24.000,2,2.000,61,false
24.000,3,0.000,58,false
24.000,4,4.000,97,false
25.000,0,1.000,12,false
25.000,1,0.000,25,false
25.000,2,1.000,62,false
25.000,3,5.000,63,false
25.000,4,2.000,99,false
26.000,0,2.000,14,false
26.000,1,0.000,25,false
26.000,2,0.000,61,false
26.000,3,3.000,66,false
26.000,4,9.000,108,false
27.000,0,1.000,15,false
27.000,1,0.000,25,false
27.000,2,7.000,68,false
27.000,3,6.000,72,false
27.000,4,5.000,113,false
28.000,0,0.000,15,false
28.000,1,0.000,25,false
28.000,2,1.000,69,false
28.000,3,1.000,73,false
28.000,4,4.000,117,false
29.000,0,1.000,16,false
29.000,1,4.000,29,false
29.000,2,1.000,70,false
29.000,3,2.000,74,false
29.000,4,4.000,121,false
30.000,0,1.000,17,false
30.000,1,0.000,29,false
30.000,2,2.000,72,false
30.000,3,4.000,78,false
30.000,4,4.000,125,false
31.000,0,0.000,16,false
31.000,1,0.000,28,false
31.000,2,4.000,76,false
31.000,3,3.000,81,false
31.000,4,5.000,130,false
32.000,0,0.000,16,false
32.000,1,1.000,29,false
32.000,2,0.000,76,false
32.000,3,2.000,83,false
32.000,4,3.000,133,false
33.000,0,0.000,16,false
33.000,1,4.000,33,false
33.000,2,3.000,79,false
33.000,3,1.000,84,false
33.000,4,6.000,139,false
34.000,0,1.000,17,false
34.000,1,1.000,34,false
34.000,2,2.000,81,false
34.000,3,5.000,88,false
34.000,4,4.000,143,false
35.000,0,1.000,18,false
35.000,1,2.000,36,false
35.000,2,0.000,80,false
35.000,3,1.000,89,false
35.000,4,2.000,145,false
36.000,0,1.000,19,false
36.000,1,1.000,36,false
36.000,2,1.000,81,false
36.000,3,5.000,94,false
36.000,4,3.000,147,false
37.000,0,1.000,20,false
37.000,1,2.000,38,false
37.000,2,3.000,84,false
37.000,3,3.000,97,false
37.000,4,4.000,151,false
38.000,0,1.000,21,false
38.000,1,1.000,39,false
38.000,2,3.000,87,false
38.000,3,3.000,100,false
38.000,4,5.000,155,false
39.000,0,2.000,23,false
39.000,1,2.000,41,false
39.000,2,0.000,87,false
39.000,3,6.000,106,false
39.000,4,2.000,157,false
40.000,0,1.000,24,false
40.000,1,3.000,44,false
40.000,2,3.000,89,false
40.000,3,4.000,109,false
40.000,4,5.000,162,false
41.000,0,2.000,26,false
41.000,1,0.000,44,false
41.000,2,2.000,91,false
41.000,3,5.000,114,false
41.000,4,2.000,164,false
42.000,0,1.000,27,false
42.000,1,1.000,45,false
42.000,2,3.000,94,false
42.000,3,3.000,117,false
42.000,4,1.000,165,false
43.000,0,0.000,27,false
43.000,1,2.000,47,false
43.000,2,0.000,94,false
43.000,3,8.000,124,false
43.000,4,4.000,168,false
44.000,0,2.000,29,false
44.000,1,0.000,46,false
44.000,2,4.000,98,false
44.000,3,1.000,125,false
44.000,4,2.000,170,false
45.000,0,1.000,29,false
45.000,1,2.000,48,false
45.000,2,3.000,100,false
45.000,3,2.000,127,false
45.000,4,9.000,179,false
46.000,0,0.000,29,false
46.000,1,1.000,48,false
46.000,2,0.000,100,false
46.000,3,6.000,133,false
46.000,4,2.000,180,false
47.000,0,2.000,31,false
47.000,1,0.000,48,false
47.000,2,2.000,102,false
47.000,3,6.000,138,false
47.000,4,3.000,183,false
48.000,0,1.000,32,false
48.000,1,2.000,50,false
48.000,2,0.000,102,false
48.000,3,2.000,140,false
48.000,4,3.000,186,false
49.000,0,2.000,34,false
49.000,1,1.000,51,false
49.000,2,0.000,102,false
49.000,3,4.000,144,false
49.000,4,3.000,188,false
50.000,0,0.000,34,false
50.000,1,1.000,51,false
50.000,2,5.000,107,false
50.000,3,1.000,145,false
50.000,4,3.000,191,false
51.000,0,2.000,36,false
51.000,1,1.000,52,false
51.000,2,2.000,109,false
51.000,3,4.000,149,false
51.000,4,3.000,194,false
52.000,0,1.000,37,false
52.000,1,0.000,52,false
52.000,2,3.000,111,false
52.000,3,2.000,150,false
52.000,4,5.000,199,false
53.000,0,0.000,37,false
53.000,1,2.000,54,false
53.000,2,0.000,111,false
53.000,3,6.000,156,false
53.000,4,8.000,207,false
54.000,0,2.000,39,false
54.000,1,2.000,56,false
54.000,2,1.000,112,false
54.000,3,5.000,161,false
54.000,4,4.000,211,false
55.000,0,1.000,40,false
55.000,1,0.000,56,false
55.000,2,1.000,113,false
55.000,3,4.000,164,false
55.000,4,6.000,217,false
56.000,0,1.000,41,false
56.000,1,0.000,56,false
56.000,2,1.000,114,false
56.000,3,5.000,169,false
56.000,4,0.000,217,false
57.000,0,0.000,41,false
57.000,1,3.000,59,false
57.000,2,1.000,115,false
57.000,3,2.000,171,false
57.000,4,4.000,221,false
58.000,0,0.000,40,false
58.000,1,4.000,62,false
58.000,2,3.000,118,false
58.000,3,4.000,175,false
58.000,4,3.000,224,false
59.000,0,0.000,40,false
59.000,1,1.000,63,false
59.000,2,2.000,120,false
59.000,3,1.000,176,false
59.000,4,2.000,226,false
60.000,0,1.000,41,false
60.000,1,4.000,67,false
60.000,2,4.000,124,false
60.000,3,2.000,177,false
60.000,4,6.000,232,false
61.000,0,1.000,42,false
61.000,1,1.000,68,false
61.000,2,3.000,127,false
61.000,3,3.000,180,false
61.000,4,8.000,240,false
62.000,0,0.000,42,false
62.000,1,2.000,70,false
62.000,2,3.000,130,false
62.000,3,2.000,182,false
62.000,4,1.000,240,false
63.000,0,0.000,42,false
63.000,1,3.000,72,false
63.000,2,4.000,134,false
63.000,3,2.000,184,false
63.000,4,4.000,244,false
64.000,0,1.000,43,false
64.000,1,1.000,73,false
64.000,2,2.000,135,false
64.000,3,1.000,185,false
64.000,4,6.000,250,false
65.000,0,1.000,44,false
65.000,1,0.000,73,false
65.000,2,2.000,137,false
65.000,3,2.000,187,false
65.000,4,3.000,253,false
66.000,0,1.000,44,false
66.000,1,0.000,73,false
66.000,2,6.000,143,false
66.000,3,1.000,188,false
66.000,4,2.000,255,false
67.000,0,0.000,44,false
67.000,1,1.000,74,false
67.000,2,1.000,144,false
67.000,3,4.000,192,false
67.000,4,4.000,259,false
68.000,0,1.000,45,false
68.000,1,1.000,75,false
68.000,2,2.000,145,false
68.000,3,1.000,193,false
68.000,4,6.000,265,false
69.000,0,1.000,46,false
69.000,1,2.000,77,false
69.000,2,2.000,147,false
69.000,3,2.000,195,false
69.000,4,5.000,269,false
70.000,0,1.000,47,false
70.000,1,2.000,79,false
70.000,2,4.000,151,false
70.000,3,3.000,197,false
70.000,4,1.000,270,false
71.000,0,1.000,47,false
71.000,1,3.000,81,false
71.000,2,1.000,152,false
71.000,3,2.000,199,false
71.000,4,3.000,273,false
72.000,0,3.000,50,false
72.000,1,4.000,85,false
72.000,2,1.000,153,false
72.000,3,4.000,203,false
72.000,4,10.000,283,false
73.000,0,0.000,50,false
73.000,1,2.000,86,false
73.000,2,1.000,154,false
73.000,3,3.000,205,false
73.000,4,3.000,286,false
74.000,0,0.000,50,false
74.000,1,2.000,88,false
74.000,2,3.000,157,false
74.000,3,2.000,207,false
74.000,4,6.000,292,false
75.000,0,1.000,51,false
75.000,1,1.000,89,false
75.000,2,1.000,157,false
75.000,3,4.000,211,false
75.000,4,3.000,294,false
76.000,0,0.000,51,false
76.000,1,2.000,91,false
76.000,2,0.000,157,false
76.000,3,2.000,213,false
76.000,4,8.000,302,false
77.000,0,1.000,52,false
77.000,1,1.000,92,false
77.000,2,1.000,158,false
77.000,3,2.000,215,false
77.000,4,6.000,308,false
78.000,0,1.000,52,false
78.000,1,1.000,92,false
78.000,2,0.000,158,false
78.000,3,3.000,217,false
78.000,4,5.000,313,false
79.000,0,1.000,53,false
79.000,1,1.000,93,false
79.000,2,2.000,160,false
79.000,3,2.000,219,false
79.000,4,5.000,318,false
80.000,0,0.000,53,false
80.000,1,1.000,94,false
80.000,2,2.000,162,false
80.000,3,2.000,221,false
80.000,4,3.000,321,false
81.000,0,2.000,55,false
81.000,1,1.000,94,false
81.000,2,1.000,163,false
81.000,3,1.000,222,false
81.000,4,4.000,325,false
82.000,0,2.000,56,false
82.000,1,2.000,96,false
82.000,2,4.000,167,false
82.000,3,6.000,228,false
82.000,4,2.000,327,false
83.000,0,0.000,56,false
83.000,1,1.000,97,false
83.000,2,2.000,169,false
83.000,3,6.000,234,false
83.000,4,2.000,329,false
84.000,0,1.000,57,false
84.000,1,1.000,98,false
84.000,2,2.000,171,false
84.000,3,3.000,237,false
84.000,4,3.000,331,false
85.000,0,0.000,57,false
85.000,1,1.000,99,false
85.000,2,4.000,175,false
85.000,3,5.000,241,false
85.000,4,2.000,333,false
86.000,0,3.000,60,false
86.000,1,1.000,100,false
86.000,2,2.000,177,false
86.000,3,3.000,244,false
86.000,4,4.000,337,false
87.000,0,2.000,61,false
87.000,1,4.000,103,false
87.000,2,3.000,180,false
87.000,3,2.000,246,false
87.000,4,2.000,339,false
88.000,0,2.000,63,false
88.000,1,1.000,104,false
88.000,2,2.000,182,false
88.000,3,2.000,248,false
88.000,4,3.000,342,false
89.000,0,0.000,63,false
89.000,1,0.000,104,false
89.000,2,1.000,183,false
89.000,3,3.000,250,false
89.000,4,4.000,345,false
90.000,0,1.000,63,false
90.000,1,2.000,106,false
90.000,2,3.000,186,false
90.000,3,2.000,252,false
90.000,4,9.000,354,false
91.000,0,2.000,65,false
91.000,1,0.000,106,false
91.000,2,3.000,189,false
91.000,3,4.000,256,false
91.000,4,6.000,360,false
92.000,0,0.000,65,false
92.000,1,3.000,109,false
92.000,2,0.000,189,false
92.000,3,4.000,260,false
92.000,4,3.000,363,false
93.000,0,2.000,67,false
93.000,1,2.000,110,false
93.000,2,1.000,190,false
93.000,3,2.000,262,false
93.000,4,7.000,370,false
94.000,0,1.000,68,false
94.000,1,3.000,113,false
94.000,2,1.000,191,false
94.000,3,2.000,264,false
94.000,4,2.000,371,false
95.000,0,1.000,68,false
95.000,1,3.000,116,false
95.000,2,3.000,193,false
95.000,3,2.000,266,false
95.000,4,4.000,375,false
96.000,0,1.000,69,false
96.000,1,1.000,117,false
96.000,2,2.000,195,false
96.000,3,4.000,270,false
96.000,4,3.000,378,false
97.000,0,1.000,70,false
97.000,1,1.000,118,false
97.000,2,3.000,198,false
97.000,3,4.000,273,false
97.000,4,8.000,386,false
98.000,0,0.000,70,false
98.000,1,2.000,120,false
98.000,2,2.000,200,false
98.000,3,4.000,277,false
98.000,4,6.000,391,false
99.000,0,0.000,70,false
99.000,1,0.000,120,false
99.000,2,4.000,204,false
99.000,3,3.000,280,false
99.000,4,3.000,394,false
100.000,0,0.000,70,false
100.000,1,3.000,123,false
100.000,2,3.000,207,false
100.000,3,1.000,281,false
100.000,4,6.000,399,false
101.000,0,0.000,70,false
101.000,1,0.000,123,false
101.000,2,2.000,208,false
101.000,3,3.000,283,false
101.000,4,4.000,403,false
102.000,0,1.000,71,false
102.000,1,3.000,126,false
102.000,2,3.000,211,false
102.000,3,7.000,290,false
102.000,4,2.000,405,false
103.000,0,1.000,71,false
103.000,1,2.000,128,false
103.000,2,1.000,212,false
103.000,3,3.000,293,false
103.000,4,1.000,406,false
104.000,0,2.000,73,false
104.000,1,2.000,130,false
104.000,2,4.000,216,false
104.000,3,2.000,295,false
104.000,4,6.000,411,false
105.000,0,0.000,73,false
105.000,1,2.000,132,false
105.000,2,0.000,216,false
105.000,3,5.000,300,false
105.000,4,3.000,414,false
106.000,0,2.000,75,false
106.000,1,2.000,134,false
106.000,2,1.000,217,false
106.000,3,3.000,303,false
106.000,4,4.000,418,false
107.000,0,3.000,78,false
107.000,1,0.000,134,false
107.000,2,2.000,219,false
107.000,3,5.000,307,false
107.000,4,3.000,420,false
108.000,0,2.000,80,false
108.000,1,3.000,137,false
108.000,2,1.000,219,false
108.000,3,3.000,310,false
108.000,4,4.000,424,false
109.000,0,1.000,81,false
109.000,1,1.000,138,false
109.000,2,3.000,222,false
109.000,3,2.000,312,false
109.000,4,3.000,426,false
110.000,0,2.000,83,false
110.000,1,1.000,139,false
110.000,2,1.000,223,false
110.000,3,0.000,312,false
110.000,4,9.000,435,false
111.000,0,0.000,82,false
111.000,1,2.000,140,false
111.000,2,4.000,227,false
111.000,3,5.000,317,false
111.000,4,3.000,438,false
112.000,0,1.000,83,false
112.000,1,1.000,141,false
112.000,2,2.000,229,false
112.000,3,1.000,318,false
112.000,4,5.000,443,false
113.000,0,1.000,84,false
113.000,1,0.000,141,false
113.000,2,2.000,231,false
113.000,3,5.000,323,false
113.000,4,4.000,446,false
114.000,0,2.000,86,false
114.000,1,2.000,143,false
114.000,2,3.000,234,false
114.000,3,4.000,326,false
114.000,4,3.000,449,false
115.000,0,0.000,86,false
115.000,1,1.000,143,false
115.000,2,1.000,235,false
115.000,3,5.000,331,false
115.000,4,1.000,450,false
116.000,0,2.000,88,false
116.000,1,2.000,145,false
116.000,2,2.000,236,false
116.000,3,4.000,335,false
116.000,4,4.000,454,false
117.000,0,1.000,88,false
117.000,1,1.000,146,false
117.000,2,2.000,238,false
117.000,3,4.000,338,false
117.000,4,2.000,456,false
118.000,0,0.000,88,false
118.000,1,2.000,148,false
118.000,2,2.000,240,false
118.000,3,7.000,345,false
118.000,4,2.000,458,false
119.000,0,3.000,91,false
119.000,1,1.000,149,false
119.000,2,1.000,241,false
119.000,3,1.000,346,false
119.000,4,4.000,462,false
120.000,0,0.000,91,false
120.000,1,1.000,150,false
120.000,2,1.000,242,false
120.000,3,2.000,347,false
120.000,4,7.000,469,false
121.000,0,0.000,91,false
121.000,1,0.000,150,false
121.000,2,0.000,242,false
121.000,3,4.000,351,false
121.000,4,5.000,473,false
122.000,0,1.000,92,false
122.000,1,1.000,150,false
122.000,2,1.000,243,false
122.000,3,5.000,356,false
122.000,4,4.000,477,false
123.000,0,1.000,92,false
123.000,1,1.000,151,false
123.000,2,2.000,244,false
123.000,3,3.000,359,false
123.000,4,8.000,485,false
124.000,0,2.000,94,false
124.000,1,2.000,153,false
124.000,2,1.000,245,false
124.000,3,4.000,363,false
124.000,4,7.000,492,false
125.000,0,0.000,94,false
125.000,1,2.000,154,false
125.000,2,1.000,246,false
125.000,3,3.000,366,false
125.000,4,4.000,496,false
126.000,0,2.000,96,false
126.000,1,2.000,156,false
126.000,2,1.000,247,false
126.000,3,1.000,367,false
126.000,4,4.000,500,false
127.000,0,2.000,98,false
127.000,1,2.000,158,false
127.000,2,1.000,248,false
127.000,3,3.000,370,false
127.000,4,3.000,503,false
128.000,0,1.000,99,false
128.000,1,2.000,160,false
128.000,2,1.000,249,false
128.000,3,1.000,371,false
128.000,4,4.000,506,false
129.000,0,0.000,99,false
129.000,1,1.000,161,false
129.000,2,2.000,251,false
129.000,3,5.000,376,false
129.000,4,6.000,512,false
130.000,0,0.000,99,false
130.000,1,2.000,163,false
130.000,2,1.000,252,false
130.000,3,1.000,377,false
130.000,4,6.000,518,false
131.000,0,1.000,100,false
131.000,1,0.000,163,false
131.000,2,4.000,255,false
131.000,3,7.000,384,false
131.000,4,7.000,525,false
132.000,0,0.000,100,false
132.000,1,5.000,168,false
