time,node_id,observed_arrival_rate,smoothed_arrival_rate,waiting_queue_size,idle,predicted_queue_size,proactive_queue_threshold,proactive_risk
0.000,0,0.000,0.000,0,true,0.000,9.600,false
0.000,1,0.000,0.000,0,true,0.000,16.800,false
0.000,2,3.000,3.000,1,false,30.476,25.200,true
0.000,3,3.000,3.000,2,false,30.476,36.000,false
0.000,4,2.000,2.000,1,false,19.476,48.000,false
1.000,0,1.000,0.300,1,false,2.476,9.600,false
1.000,1,1.000,0.300,0,false,1.476,16.800,false
1.000,2,1.000,2.400,2,false,24.476,25.200,false
1.000,3,0.000,2.100,2,false,21.476,36.000,false
1.000,4,4.000,2.600,5,false,29.476,48.000,false
2.000,0,2.000,0.810,3,false,9.576,9.600,false
2.000,1,3.000,1.110,3,false,12.576,16.800,false
2.000,2,3.000,2.580,5,false,29.276,25.200,true
2.000,3,2.000,2.070,4,false,23.176,36.000,false
2.000,4,2.000,2.420,7,false,29.676,48.000,false
3.000,0,1.000,0.867,3,false,10.146,9.600,false
3.000,1,1.000,1.077,4,false,13.246,16.800,false
3.000,2,5.000,3.306,10,false,41.536,25.200,true
3.000,3,1.000,1.749,5,false,20.966,36.000,false
3.000,4,6.000,3.494,13,false,46.416,48.000,false
4.000,0,0.000,0.607,3,false,7.545,9.600,false
4.000,1,1.000,1.054,5,false,14.015,16.800,false
4.000,2,2.000,2.914,12,false,39.618,25.200,true
4.000,3,1.000,1.524,6,false,19.719,36.000,false
4.000,4,5.000,3.946,18,false,55.934,48.000,false
5.000,0,0.000,0.425,3,false,5.724,9.600,false
5.000,1,2.000,1.338,7,false,18.853,16.800,false
5.000,2,1.000,2.340,13,false,34.876,25.200,false
5.000,3,5.000,2.567,11,false,35.146,36.000,false
5.000,4,3.000,3.662,21,false,56.097,48.000,false
6.000,0,0.000,0.297,3,false,4.450,9.600,false
6.000,1,0.000,0.936,7,false,14.840,16.800,false
6.000,2,2.000,2.238,15,false,35.856,25.200,false
6.000,3,2.000,2.397,13,false,35.445,36.000,false
6.000,4,7.000,4.663,28,false,73.111,48.000,false
7.000,0,0.000,0.208,3,false,3.558,9.600,false
7.000,1,1.000,0.955,8,false,16.031,16.800,false
7.000,2,2.000,2.167,16,false,36.142,25.200,false
7.000,3,5.000,3.178,18,false,48.255,36.000,false
7.000,4,2.000,3.864,30,false,67.120,48.000,false
8.000,0,1.000,0.446,4,false,6.933,9.600,false
8.000,1,2.000,1.269,10,false,21.165,16.800,false
8.000,2,0.000,1.517,16,false,29.642,25.200,false
8.000,3,6.000,4.024,14,false,62.721,36.000,true
