time,event,task_id,node_id,priority,steps,complexity,deadline,base_execution_time,delay_multiplier,rough_score,details
0.000,ARRIVED,1,1,6,6,9.466,70.392,3.430,1.000,0.000000,
0.000,STARTED,1,1,6,6,9.466,70.392,3.430,1.000,0.000000,observed_rate=1.000
0.000,ARRIVED,2,2,2,11,5.316,116.041,7.768,1.000,0.000000,
0.000,ARRIVED,3,2,5,17,9.177,38.226,4.523,1.000,0.000000,
0.000,ARRIVED,4,2,2,14,7.267,79.303,2.562,1.000,0.000000,
0.000,ARRIVED,5,2,9,20,1.600,118.187,7.663,1.000,0.000000,
0.000,STARTED,2,2,2,11,5.316,116.041,7.768,1.000,0.000000,observed_rate=4.000
0.000,ARRIVED,6,3,7,15,2.062,43.476,7.707,2.289,0.000000,
0.000,ARRIVED,7,3,3,3,4.256,41.725,7.472,1.000,0.000000,
0.000,ARRIVED,8,3,4,4,7.000,99.624,5.254,1.000,0.000000,
0.000,ARRIVED,9,3,9,1,8.488,117.986,2.059,1.000,0.000000,
0.000,ARRIVED,10,3,7,11,1.822,73.585,7.408,1.694,0.000000,
0.000,STARTED,6,3,7,15,2.062,43.476,7.707,2.289,0.000000,observed_rate=5.000
0.000,OFFLOADED,7,3,3,3,4.256,41.725,7.472,1.000,1.629130,trigger=REACTIVE;observed_rate=5.000;smoothed_rate=5.000;predicted_queue=4.000;deadline_risk=false;decision_score=1.629130;offload_count=1;destination_node=0;destination_policy=LEAST_QUEUE
0.000,RECEIVED_OFFLOAD,7,0,3,3,4.256,41.725,7.472,1.000,1.629130,source_node=3;rough_score=1.629130
0.000,STARTED,7,0,3,3,4.256,41.725,7.472,1.000,1.629130,observed_rate=0.000
0.000,OFFLOADED,10,3,7,11,1.822,73.585,7.408,1.694,1.568071,trigger=REACTIVE;observed_rate=5.000;smoothed_rate=5.000;predicted_queue=4.000;deadline_risk=false;decision_score=1.568071;offload_count=1;destination_node=0;destination_policy=LEAST_QUEUE
0.000,RECEIVED_OFFLOAD,10,0,7,11,1.822,73.585,7.408,1.694,1.568071,source_node=3;rough_score=1.568071
0.000,ARRIVED,11,4,3,18,4.689,38.501,3.142,1.000,0.000000,
0.000,ARRIVED,12,4,3,1,9.557,27.513,3.460,1.000,0.000000,
0.000,ARRIVED,13,4,9,5,9.312,100.081,5.423,1.000,0.000000,
0.000,ARRIVED,14,4,1,16,3.548,111.380,3.484,1.000,0.000000,
0.000,ARRIVED,15,4,1,14,4.071,28.867,4.227,2.443,0.000000,
0.000,STARTED,11,4,3,18,4.689,38.501,3.142,1.000,0.000000,observed_rate=5.000
1.000,ARRIVED,16,0,5,18,6.105,113.046,2.328,1.000,0.000000,
1.000,ARRIVED,17,1,5,15,1.934,63.561,6.542,2.060,0.000000,
1.000,ARRIVED,18,2,1,6,7.617,88.777,3.027,2.519,0.000000,
1.000,ARRIVED,19,3,5,2,6.626,87.391,6.663,2.155,0.000000,
1.000,ARRIVED,20,3,4,6,2.476,73.164,7.254,2.091,0.000000,
1.000,ARRIVED,21,4,9,6,5.571,27.564,5.489,1.740,0.000000,
1.000,ARRIVED,22,4,4,8,6.092,120.142,6.870,1.675,0.000000,
1.000,ARRIVED,23,4,10,7,9.782,32.810,7.366,1.000,0.000000,
1.000,ARRIVED,24,4,7,1,5.171,112.801,3.673,1.000,0.000000,
1.000,ARRIVED,25,4,2,4,4.006,110.928,2.257,2.445,0.000000,
1.000,ARRIVED,26,4,9,1,5.221,27.055,5.904,1.000,0.000000,
1.000,ARRIVED,27,4,6,8,4.951,49.102,5.926,2.794,0.000000,
1.000,ARRIVED,28,4,5,1,2.110,78.607,4.952,1.000,0.000000,
2.000,ARRIVED,29,1,2,19,4.786,27.737,4.299,1.000,0.000000,
2.000,ARRIVED,30,2,1,13,5.041,22.227,7.866,2.940,0.000000,
2.000,ARRIVED,31,2,3,1,5.843,53.545,6.218,2.252,0.000000,
2.000,ARRIVED,32,2,5,18,4.950,68.443,5.627,1.000,0.000000,
2.000,ARRIVED,33,3,9,17,6.981,118.770,7.015,1.000,0.000000,
2.000,ARRIVED,34,3,2,5,9.839,112.019,2.165,1.000,0.000000,
2.000,ARRIVED,35,3,4,19,4.200,76.712,5.394,1.000,0.000000,
2.000,ARRIVED,36,3,10,16,9.335,30.108,3.178,1.000,0.000000,
2.000,ARRIVED,37,3,2,9,4.033,76.021,7.142,1.000,0.000000,
2.000,ARRIVED,38,4,9,4,5.080,99.683,4.851,1.666,0.000000,
2.000,ARRIVED,39,4,10,16,7.267,22.297,3.376,1.000,0.000000,
2.000,ARRIVED,40,4,6,12,9.332,26.483,6.196,1.000,0.000000,
2.000,ARRIVED,41,4,2,16,8.196,60.386,6.790,1.000,0.000000,
2.000,ARRIVED,42,4,9,12,3.847,93.464,6.634,1.000,0.000000,
3.000,ARRIVED,43,0,4,8,3.199,82.166,4.108,1.000,0.000000,
3.000,ARRIVED,44,1,9,12,8.829,46.673,3.786,1.000,0.000000,
3.000,ARRIVED,45,1,5,12,9.378,98.795,5.564,1.000,0.000000,
3.000,ARRIVED,46,2,5,11,7.862,64.370,4.747,1.000,0.000000,
3.000,ARRIVED,47,3,10,15,6.504,69.881,2.281,1.000,0.000000,
3.000,ARRIVED,48,3,10,14,3.193,122.804,5.870,1.000,0.000000,
3.000,ARRIVED,49,3,10,8,2.363,70.854,4.664,1.509,0.000000,
3.000,ARRIVED,50,3,2,14,6.176,116.555,5.947,2.293,0.000000,
3.000,ARRIVED,51,4,7,10,9.154,93.994,5.748,1.000,0.000000,
3.000,ARRIVED,52,4,5,14,9.363,63.173,7.147,1.000,0.000000,
3.000,ARRIVED,53,4,10,13,3.207,111.648,4.690,1.000,0.000000,
3.000,ARRIVED,54,4,10,17,9.781,121.999,2.585,1.000,0.000000,
3.000,ARRIVED,55,4,4,9,7.374,23.945,2.334,1.000,0.000000,
3.142,FINISHED,11,4,3,18,4.689,38.501,3.142,1.000,0.000000,
3.142,STARTED,12,4,3,1,9.557,27.513,3.460,1.000,0.000000,observed_rate=5.000
3.430,FINISHED,1,1,6,6,9.466,70.392,3.430,1.000,0.000000,
3.430,STARTED,17,1,5,15,1.934,63.561,6.542,2.060,0.000000,observed_rate=2.000
3.430,OFFLOADED,44,1,9,12,8.829,46.673,3.786,1.000,1.811305,trigger=REACTIVE;observed_rate=2.000;smoothed_rate=1.300;predicted_queue=3.000;deadline_risk=false;decision_score=1.811305;offload_count=1;destination_node=0;destination_policy=LEAST_QUEUE
3.430,RECEIVED_OFFLOAD,44,0,9,12,8.829,46.673,3.786,1.000,1.811305,source_node=1;rough_score=1.811305
3.430,OFFLOADED,29,1,2,19,4.786,27.737,4.299,1.000,1.057244,trigger=REACTIVE;observed_rate=2.000;smoothed_rate=1.300;predicted_queue=3.000;deadline_risk=false;decision_score=1.057244;offload_count=1;destination_node=0;destination_policy=LEAST_QUEUE
3.430,RECEIVED_OFFLOAD,29,0,2,19,4.786,27.737,4.299,1.000,1.057244,source_node=1;rough_score=1.057244
4.000,ARRIVED,56,0,2,1,2.756,25.433,5.344,1.000,0.000000,
4.000,ARRIVED,57,1,3,16,7.681,90.790,3.983,2.847,0.000000,
4.000,ARRIVED,58,1,4,7,4.517,31.491,6.096,1.000,0.000000,
4.000,ARRIVED,59,1,7,18,2.299,43.324,5.640,1.000,0.000000,
4.000,ARRIVED,60,1,10,12,4.593,34.514,4.178,2.588,0.000000,
4.000,ARRIVED,61,2,7,18,3.597,34.169,3.932,2.630,0.000000,
4.000,ARRIVED,62,2,8,3,3.234,71.158,3.936,1.000,0.000000,
4.000,ARRIVED,63,3,7,14,6.117,38.781,7.261,1.000,0.000000,
4.000,ARRIVED,64,3,5,14,4.834,103.489,5.014,1.000,0.000000,
4.000,ARRIVED,65,3,2,2,4.445,81.970,4.711,1.000,0.000000,
4.000,ARRIVED,66,3,4,16,4.483,54.974,3.640,1.000,0.000000,
5.000,ARRIVED,67,0,1,17,7.604,29.141,7.557,1.000,0.000000,
5.000,ARRIVED,68,1,7,12,9.996,65.500,5.455,1.000,0.000000,
5.000,ARRIVED,69,1,5,12,7.344,39.284,2.426,1.000,0.000000,
5.000,ARRIVED,70,1,1,12,7.108,81.173,5.474,1.000,0.000000,
5.000,ARRIVED,71,2,7,7,8.555,94.274,4.128,1.000,0.000000,
5.000,ARRIVED,72,4,3,5,9.494,90.324,7.628,1.000,0.000000,
5.000,ARRIVED,73,4,6,20,2.514,60.011,2.410,1.000,0.000000,
6.000,ARRIVED,74,0,3,6,7.502,26.114,5.191,2.100,0.000000,
6.000,ARRIVED,75,1,9,15,6.758,78.274,6.578,1.695,0.000000,
6.000,ARRIVED,76,2,10,10,6.276,81.329,4.063,1.000,0.000000,
6.000,ARRIVED,77,2,4,12,8.133,70.948,3.558,1.000,0.000000,
6.000,ARRIVED,78,2,6,9,2.903,61.746,3.392,1.000,0.000000,
6.000,ARRIVED,79,3,4,4,5.751,56.145,5.416,1.000,0.000000,
6.000,ARRIVED,80,3,4,2,2.483,49.388,3.955,2.518,0.000000,
6.000,ARRIVED,81,4,6,7,3.402,113.631,2.879,1.000,0.000000,
6.000,ARRIVED,82,4,10,14,8.297,94.645,4.592,1.000,0.000000,
6.000,ARRIVED,83,4,9,3,9.133,101.133,6.455,2.619,0.000000,
