time,event,task_id,node_id,priority,steps,complexity,deadline,base_execution_time,delay_multiplier,rough_score,details
0.000,ARRIVED,1,0,2,8,7.109,118.916,4.159,1.000,0.000000,
0.000,STARTED,1,0,2,8,7.109,118.916,4.159,1.000,0.000000,observed_rate=1.000
0.000,ARRIVED,2,1,6,13,1.794,85.666,6.372,1.000,0.000000,
0.000,STARTED,2,1,6,13,1.794,85.666,6.372,1.000,0.000000,observed_rate=1.000
0.000,ARRIVED,3,2,8,12,4.391,117.526,3.745,1.000,0.000000,
0.000,STARTED,3,2,8,12,4.391,117.526,3.745,1.000,0.000000,observed_rate=1.000
0.000,ARRIVED,4,3,6,17,4.119,61.511,3.611,2.194,0.000000,
0.000,ARRIVED,5,3,10,7,4.192,112.871,7.590,1.000,0.000000,
0.000,ARRIVED,6,3,7,9,6.453,33.871,4.208,1.000,0.000000,
0.000,ARRIVED,7,3,6,12,8.831,74.593,6.619,1.000,0.000000,
0.000,STARTED,4,3,6,17,4.119,61.511,3.611,2.194,0.000000,observed_rate=4.000
0.000,OFFLOADED,6,3,7,9,6.453,33.871,4.208,1.000,1.675230,trigger=REACTIVE;observed_rate=4.000;smoothed_rate=4.000;predicted_queue=3.000;deadline_risk=false;decision_score=1.675230;offload_count=1;destination_node=0;destination_policy=LEAST_QUEUE
0.000,RECEIVED_OFFLOAD,6,0,7,9,6.453,33.871,4.208,1.000,1.675230,source_node=3;rough_score=1.675230
0.000,OFFLOADED,5,3,10,7,4.192,112.871,7.590,1.000,1.016485,trigger=REACTIVE;observed_rate=4.000;smoothed_rate=4.000;predicted_queue=3.000;deadline_risk=false;decision_score=1.016485;offload_count=1;destination_node=1;destination_policy=LEAST_QUEUE
0.000,RECEIVED_OFFLOAD,5,1,10,7,4.192,112.871,7.590,1.000,1.016485,source_node=3;rough_score=1.016485
0.000,ARRIVED,8,4,5,2,9.467,93.475,4.262,1.000,0.000000,
0.000,ARRIVED,9,4,5,5,8.355,83.828,7.267,2.252,0.000000,
0.000,ARRIVED,10,4,2,3,2.787,68.187,5.911,2.375,0.000000,
0.000,STARTED,8,4,5,2,9.467,93.475,4.262,1.000,0.000000,observed_rate=3.000
1.000,ARRIVED,11,1,8,10,6.793,89.050,3.522,1.000,0.000000,
1.000,ARRIVED,12,1,9,15,3.796,107.783,5.223,1.000,0.000000,
1.000,ARRIVED,13,1,2,13,4.097,99.322,7.091,1.000,0.000000,
1.000,ARRIVED,14,1,5,9,1.330,51.437,7.676,2.890,0.000000,
1.000,OFFLOADED,14,1,5,9,1.330,51.437,7.676,2.890,1.817573,trigger=PROACTIVE;observed_rate=4.000;smoothed_rate=1.900;predicted_queue=22.476;deadline_risk=false;decision_score=1.817573;offload_count=1;destination_node=2;destination_policy=LEAST_QUEUE
1.000,RECEIVED_OFFLOAD,14,2,5,9,1.330,51.437,7.676,2.890,1.817573,source_node=1;rough_score=1.817573
1.000,OFFLOADED,11,1,8,10,6.793,89.050,3.522,1.000,1.037314,trigger=PROACTIVE;observed_rate=4.000;smoothed_rate=1.900;predicted_queue=22.476;deadline_risk=false;decision_score=1.037314;offload_count=1;destination_node=0;destination_policy=LEAST_QUEUE
1.000,RECEIVED_OFFLOAD,11,0,8,10,6.793,89.050,3.522,1.000,1.037314,source_node=1;rough_score=1.037314
1.000,ARRIVED,15,2,3,10,4.789,29.427,3.932,1.000,0.000000,
1.000,ARRIVED,16,2,6,10,3.261,39.876,2.233,1.000,0.000000,
1.000,ARRIVED,17,2,5,10,9.541,44.836,4.275,1.000,0.000000,
1.000,ARRIVED,18,3,1,13,2.473,83.577,5.248,1.000,0.000000,
1.000,ARRIVED,19,3,8,10,3.944,50.852,5.000,2.682,0.000000,
1.000,ARRIVED,20,3,3,9,8.025,68.945,6.054,1.000,0.000000,
1.000,ARRIVED,21,4,4,12,4.647,117.846,6.778,1.575,0.000000,
1.000,ARRIVED,22,4,9,8,4.490,91.241,2.806,1.000,0.000000,
1.000,ARRIVED,23,4,7,19,6.721,60.442,4.349,1.836,0.000000,
1.000,ARRIVED,24,4,6,16,9.558,27.895,7.278,1.000,0.000000,
1.000,ARRIVED,25,4,8,17,3.468,118.702,7.931,1.986,0.000000,
2.000,ARRIVED,26,0,3,11,9.401,69.036,6.719,1.000,0.000000,
2.000,ARRIVED,27,1,1,15,8.856,55.260,7.117,1.000,0.000000,
2.000,ARRIVED,28,2,9,13,4.158,63.930,5.298,2.931,0.000000,
2.000,ARRIVED,29,2,6,13,2.545,104.261,7.369,1.000,0.000000,
2.000,ARRIVED,30,3,2,9,7.697,58.150,6.152,1.000,0.000000,
2.000,ARRIVED,31,4,1,11,1.493,58.871,6.090,1.000,0.000000,
2.000,ARRIVED,32,4,3,2,5.100,72.744,5.784,1.000,0.000000,
2.000,ARRIVED,33,4,7,9,5.637,49.021,5.252,2.867,0.000000,
2.000,ARRIVED,34,4,9,16,4.681,73.440,3.129,1.000,0.000000,
2.000,ARRIVED,35,4,7,9,4.088,100.763,6.797,1.000,0.000000,
3.000,ARRIVED,36,1,5,17,8.120,44.503,6.291,1.000,0.000000,
3.000,ARRIVED,37,1,8,16,7.103,41.751,4.169,1.000,0.000000,
3.000,ARRIVED,38,1,7,9,6.696,34.662,7.480,1.867,0.000000,
3.000,ARRIVED,39,3,1,16,3.057,51.750,5.744,2.479,0.000000,
3.000,ARRIVED,40,3,1,11,8.386,78.553,3.227,1.000,0.000000,
3.000,ARRIVED,41,3,10,17,9.312,50.485,2.955,2.661,0.000000,
3.000,ARRIVED,42,3,2,8,3.680,80.424,6.832,1.000,0.000000,
3.000,ARRIVED,43,3,10,12,6.799,35.389,4.080,1.000,0.000000,
3.000,ARRIVED,44,4,3,20,4.712,120.423,7.788,2.037,0.000000,
3.000,ARRIVED,45,4,4,9,9.323,111.719,2.974,1.955,0.000000,
3.000,ARRIVED,46,4,9,12,1.629,117.999,6.243,1.000,0.000000,
3.000,ARRIVED,47,4,9,2,6.652,49.883,7.443,1.000,0.000000,
3.000,ARRIVED,48,4,1,2,8.674,115.694,4.290,1.000,0.000000,
3.000,ARRIVED,49,4,4,10,7.666,69.174,2.576,1.000,0.000000,
3.000,ARRIVED,50,4,10,13,4.372,75.070,7.625,1.000,0.000000,
3.000,ARRIVED,51,4,3,3,8.823,48.522,2.596,1.778,0.000000,
3.000,OFFLOADED,47,4,9,2,6.652,49.883,7.443,1.000,1.810937,trigger=PROACTIVE;observed_rate=8.000;smoothed_rate=5.214;predicted_queue=70.616;deadline_risk=true;decision_score=1.810937;offload_count=1;destination_node=0;destination_policy=LEAST_QUEUE
3.000,RECEIVED_OFFLOAD,47,0,9,2,6.652,49.883,7.443,1.000,1.810937,source_node=4;rough_score=1.810937
3.000,OFFLOADED,33,4,7,9,5.637,49.021,5.252,2.867,1.700506,trigger=PROACTIVE;observed_rate=8.000;smoothed_rate=5.214;predicted_queue=70.616;deadline_risk=true;decision_score=1.700506;offload_count=1;destination_node=0;destination_policy=LEAST_QUEUE
3.000,RECEIVED_OFFLOAD,33,0,7,9,5.637,49.021,5.252,2.867,1.700506,source_node=4;rough_score=1.700506
3.000,OFFLOADED,24,4,6,16,9.558,27.895,7.278,1.000,1.688321,trigger=PROACTIVE;observed_rate=8.000;smoothed_rate=5.214;predicted_queue=70.616;deadline_risk=true;decision_score=1.688321;offload_count=1;destination_node=0;destination_policy=LEAST_QUEUE
3.000,RECEIVED_OFFLOAD,24,0,6,16,9.558,27.895,7.278,1.000,1.688321,source_node=4;rough_score=1.688321
3.000,OFFLOADED,50,4,10,13,4.372,75.070,7.625,1.000,1.657665,trigger=PROACTIVE;observed_rate=8.000;smoothed_rate=5.214;predicted_queue=70.616;deadline_risk=true;decision_score=1.657665;offload_count=1;destination_node=0;destination_policy=LEAST_QUEUE
3.000,RECEIVED_OFFLOAD,50,0,10,13,4.372,75.070,7.625,1.000,1.657665,source_node=4;rough_score=1.657665
3.000,OFFLOADED,34,4,9,16,4.681,73.440,3.129,1.000,1.602131,trigger=PROACTIVE;observed_rate=8.000;smoothed_rate=5.214;predicted_queue=70.616;deadline_risk=true;decision_score=1.602131;offload_count=1;destination_node=2;destination_policy=LEAST_QUEUE
3.000,RECEIVED_OFFLOAD,34,2,9,16,4.681,73.440,3.129,1.000,1.602131,source_node=4;rough_score=1.602131
3.000,OFFLOADED,51,4,3,3,8.823,48.522,2.596,1.778,1.578637,trigger=PROACTIVE;observed_rate=8.000;smoothed_rate=5.214;predicted_queue=70.616;deadline_risk=true;decision_score=1.578637;offload_count=1;destination_node=0;destination_policy=LEAST_QUEUE
3.000,RECEIVED_OFFLOAD,51,0,3,3,8.823,48.522,2.596,1.778,1.578637,source_node=4;rough_score=1.578637
3.000,OFFLOADED,22,4,9,8,4.490,91.241,2.806,1.000,1.058667,trigger=PROACTIVE;observed_rate=8.000;smoothed_rate=5.214;predicted_queue=70.616;deadline_risk=true;decision_score=1.058667;offload_count=1;destination_node=1;destination_policy=LEAST_QUEUE
3.000,RECEIVED_OFFLOAD,22,1,9,8,4.490,91.241,2.806,1.000,1.058667,source_node=4;rough_score=1.058667
3.000,OFFLOADED,23,4,7,19,6.721,60.442,4.349,1.836,1.055840,trigger=PROACTIVE;observed_rate=8.000;smoothed_rate=5.214;predicted_queue=70.616;deadline_risk=true;decision_score=1.055840;offload_count=1;destination_node=2;destination_policy=LEAST_QUEUE
3.000,RECEIVED_OFFLOAD,23,2,7,19,6.721,60.442,4.349,1.836,1.055840,source_node=4;rough_score=1.055840
3.745,FINISHED,3,2,8,12,4.391,117.526,3.745,1.000,0.000000,
3.745,STARTED,14,2,5,9,1.330,51.437,7.676,2.890,1.817573,observed_rate=0.000
4.000,ARRIVED,52,0,6,11,6.174,104.452,5.937,2.925,0.000000,
4.000,ARRIVED,53,0,5,20,6.846,77.354,2.977,1.000,0.000000,
4.000,OFFLOADED,53,0,5,20,6.846,77.354,2.977,1.000,1.663280,trigger=PROACTIVE;observed_rate=2.000;smoothed_rate=0.987;predicted_queue=18.347;deadline_risk=true;decision_score=1.663280;offload_count=1;destination_node=2;destination_policy=LEAST_QUEUE
4.000,RECEIVED_OFFLOAD,53,2,5,20,6.846,77.354,2.977,1.000,1.663280,source_node=0;rough_score=1.663280
