time,node_id,observed_arrival_rate,smoothed_arrival_rate,waiting_queue_size,idle,predicted_queue_size,proactive_queue_threshold,proactive_risk
0.000,0,0.000,0.000,0,true,0.000,9.600,false
0.000,1,1.000,1.000,0,false,8.476,16.800,false
0.000,2,4.000,4.000,2,false,40.476,25.200,true
0.000,3,10.000,10.000,7,false,107.476,36.000,true
0.000,4,5.000,5.000,2,false,52.476,48.000,true
1.000,0,0.000,0.000,2,false,0.476,9.600,false
1.000,1,2.000,1.300,4,false,15.476,16.800,false
1.000,2,3.000,3.700,5,false,40.476,25.200,true
1.000,3,2.000,7.600,9,false,83.476,36.000,true
1.000,4,3.000,4.400,5,false,47.476,48.000,false
2.000,0,0.000,0.000,2,false,0.476,9.600,false
2.000,1,3.000,1.810,4,false,23.576,16.800,true
2.000,2,1.000,2.890,6,false,33.376,25.200,true
2.000,3,1.000,5.620,10,false,64.676,36.000,true
2.000,4,0.000,3.080,5,false,34.276,48.000,false
3.000,0,0.000,0.000,4,false,2.476,9.600,false
3.000,1,4.000,2.467,8,false,31.146,16.800,true
3.000,2,1.000,2.323,7,false,28.706,25.200,false
3.000,3,1.000,4.234,11,false,51.816,36.000,true
3.000,4,6.000,3.956,10,false,48.036,48.000,false
4.000,0,1.000,0.300,5,false,6.476,9.600,false
4.000,1,1.000,2.027,9,false,27.745,16.800,true
4.000,2,4.000,2.826,11,false,37.737,25.200,true
4.000,3,5.000,4.464,16,false,59.114,36.000,true
4.000,4,2.000,3.369,12,false,44.168,48.000,false
5.000,0,0.000,0.210,5,false,5.576,9.600,false
5.000,1,1.000,1.719,10,false,25.664,16.800,true
5.000,2,3.000,2.878,14,false,41.259,25.200,true
5.000,3,2.000,3.725,17,false,52.723,36.000,true
5.000,4,7.000,4.458,19,false,62.061,48.000,false
6.000,0,1.000,0.447,6,false,8.946,9.600,false
6.000,1,1.000,1.503,10,false,23.508,16.800,false
6.000,2,0.000,2.015,13,false,31.624,25.200,false
6.000,3,2.000,3.207,19,false,49.549,36.000,false
6.000,4,8.000,5.521,27,false,80.685,48.000,true
7.000,0,0.000,0.313,6,false,7.605,9.600,false
7.000,1,0.000,1.052,10,false,18.998,16.800,false
7.000,2,2.000,2.010,15,false,33.580,25.200,false
7.000,3,1.000,2.545,20,false,43.927,36.000,false
7.000,4,4.000,5.065,31,false,80.123,48.000,true
8.000,0,1.000,0.519,7,false,10.666,9.600,false
8.000,1,1.000,1.037,11,false,19.842,16.800,false
8.000,2,1.000,1.707,16,false,31.549,25.200,false
8.000,3,2.000,2.382,22,false,44.292,36.000,false
8.000,4,3.000,4.445,34,false,76.929,48.000,false
9.000,0,0.000,0.363,7,false,9.109,9.600,false
9.000,1,0.000,0.726,11,false,16.732,16.800,false
9.000,2,2.000,1.795,18,false,34.427,25.200,false
9.000,3,4.000,2.867,26,false,53.147,36.000,false
9.000,4,4.000,4.312,38,false,79.593,48.000,false
10.000,0,0.000,0.254,7,false,8.019,9.600,false
10.000,1,4.000,1.708,14,false,29.555,16.800,true
10.000,2,1.000,1.557,18,false,32.042,25.200,false
10.000,3,0.000,2.007,26,false,44.546,36.000,false
10.000,4,1.000,3.318,39,false,70.658,48.000,false
11.000,0,3.000,1.078,8,false,19.256,9.600,true
11.000,1,1.000,1.496,17,false,30.432,16.800,false
11.000,2,0.000,1.090,18,false,27.372,25.200,false
11.000,3,3.000,2.305,29,false,50.525,36.000,false
11.000,4,8.000,4.723,47,false,92.703,48.000,false
12.000,0,0.000,0.755,8,false,14.022,9.600,false
12.000,1,2.000,1.647,19,false,33.945,16.800,false
12.000,2,1.000,1.063,19,false,28.103,25.200,false
12.000,3,5.000,3.113,34,false,63.610,36.000,false
12.000,4,2.000,3.906,49,false,86.535,48.000,false
13.000,0,2.000,1.128,9,false,18.759,9.600,true
13.000,1,1.000,1.453,19,false,32.004,16.800,false
13.000,2,5.000,2.244,23,false,43.915,25.200,false
13.000,3,2.000,2.779,35,false,61.270,36.000,false
13.000,4,1.000,3.034,50,false,78.818,48.000,false
14.000,0,0.000,0.790,9,false,15.374,9.600,false
14.000,1,3.000,1.917,22,false,39.646,16.800,true
14.000,2,0.000,1.571,23,false,37.183,25.200,false
14.000,3,1.000,2.246,36,false,56.932,36.000,false
14.000,4,7.000,4.224,57,false,97.715,48.000,false
15.000,0,0.000,0.553,9,false,13.005,9.600,false
15.000,1,2.000,1.942,24,false,41.895,16.800,true
15.000,2,3.000,2.000,26,false,44.471,25.200,false
15.000,3,3.000,2.472,38,false,61.195,36.000,false
15.000,4,2.000,3.557,59,false,93.043,48.000,false
16.000,0,1.000,0.687,9,false,14.346,9.600,false
16.000,1,4.000,2.559,28,false,52.069,16.800,true
16.000,2,0.000,1.400,26,false,38.473,25.200,false
16.000,3,3.000,2.630,41,false,65.779,36.000,false
16.000,4,5.000,3.990,64,false,102.373,48.000,false
17.000,0,1.000,0.781,10,false,16.285,9.600,false
17.000,1,1.000,2.092,29,false,48.391,16.800,true
17.000,2,4.000,2.180,30,false,50.274,25.200,false
17.000,3,3.000,2.741,44,false,69.889,36.000,false
17.000,4,9.000,5.493,73,false,126.404,48.000,true
18.000,0,2.000,1.147,12,false,21.942,9.600,true
18.000,1,2.000,2.064,31,false,50.117,16.800,true
18.000,2,0.000,1.526,30,false,43.735,25.200,false
18.000,3,1.000,2.219,44,false,64.665,36.000,false
18.000,4,4.000,5.045,77,false,125.926,48.000,true
19.000,0,1.000,1.103,13,false,22.503,9.600,true
19.000,1,2.000,2.045,33,false,51.925,16.800,true
19.000,2,2.000,1.668,31,false,46.157,25.200,false
19.000,3,3.000,2.453,47,false,70.008,36.000,false
19.000,4,1.000,3.831,78,false,114.791,48.000,false
20.000,0,1.000,1.072,13,false,22.195,9.600,true
20.000,1,1.000,1.731,34,false,49.790,16.800,true
20.000,2,1.000,1.468,32,false,45.153,25.200,false
20.000,3,4.000,2.917,51,false,78.649,36.000,false
20.000,4,5.000,4.182,82,false,122.296,48.000,false
21.000,0,1.000,1.050,14,false,22.979,9.600,true
21.000,1,2.000,1.812,36,false,52.596,16.800,true
21.000,2,1.000,1.327,33,false,44.750,25.200,false
21.000,3,1.000,2.342,51,false,72.897,36.000,false
21.000,4,1.000,3.227,83,false,113.750,48.000,false
22.000,0,0.000,0.735,14,false,19.828,9.600,false
22.000,1,3.000,2.168,39,false,59.160,16.800,true
22.000,2,2.000,1.529,35,false,48.768,25.200,false
22.000,3,4.000,2.839,55,false,81.871,36.000,false
22.000,4,3.000,3.159,86,false,116.068,48.000,false
23.000,0,0.000,0.515,14,false,17.623,9.600,false
23.000,1,0.000,1.518,38,false,51.655,16.800,false
23.000,2,0.000,1.070,34,false,43.180,25.200,false
23.000,3,6.000,3.788,60,false,96.352,36.000,true
23.000,4,7.000,4.311,93,false,134.591,48.000,false
24.000,0,3.000,1.260,16,false,27.079,9.600,true
24.000,1,0.000,1.063,38,false,47.101,16.800,false
24.000,2,0.000,0.749,34,false,39.969,25.200,false
24.000,3,1.000,2.951,61,false,88.989,36.000,false
24.000,4,7.000,5.118,100,false,149.656,48.000,true
25.000,0,1.000,1.182,17,false,27.298,9.600,true
25.000,1,2.000,1.344,40,false,51.914,16.800,false
25.000,2,2.000,1.124,36,false,45.721,25.200,false
25.000,3,4.000,3.266,65,false,96.135,36.000,false
25.000,4,6.000,5.383,106,false,158.302,48.000,true
26.000,0,1.000,1.128,18,false,27.751,9.600,true
26.000,1,0.000,0.941,40,false,47.882,16.800,false
26.000,2,1.000,1.087,37,false,46.348,25.200,false
26.000,3,3.000,3.186,67,false,97.338,36.000,false
26.000,4,5.000,5.268,111,false,162.154,48.000,true
27.000,0,0.000,0.789,18,false,24.369,9.600,false
27.000,1,0.000,0.658,40,false,45.061,16.800,false
27.000,2,4.000,1.961,41,false,59.086,25.200,false
27.000,3,3.000,3.130,70,false,99.779,36.000,false
27.000,4,2.000,4.287,113,false,154.351,48.000,false
28.000,0,0.000,0.552,18,false,22.001,9.600,false
28.000,1,1.000,0.761,41,false,47.085,16.800,false
28.000,2,1.000,1.673,41,false,56.203,25.200,false
28.000,3,1.000,2.491,71,false,94.388,36.000,false
