time,node_id,observed_arrival_rate,smoothed_arrival_rate,waiting_queue_size,idle,predicted_queue_size,proactive_queue_threshold,proactive_risk
0.000,0,1.000,1.000,0,false,8.476,9.600,false
0.000,1,0.000,0.000,0,true,0.000,16.800,false
0.000,2,3.000,3.000,2,false,30.476,25.200,true
0.000,3,5.000,5.000,4,false,52.476,36.000,true
0.000,4,9.000,9.000,8,false,96.476,48.000,true
1.000,0,0.000,0.700,0,false,5.476,9.600,false
1.000,1,3.000,0.900,2,false,9.476,16.800,false
1.000,2,1.000,2.400,3,false,25.476,25.200,false
1.000,3,5.000,5.000,9,false,57.476,36.000,true
1.000,4,6.000,8.100,14,false,93.476,48.000,true
2.000,0,0.000,0.490,0,false,3.376,9.600,false
2.000,1,1.000,0.930,3,false,10.776,16.800,false
2.000,2,3.000,2.580,6,false,30.276,25.200,false
2.000,3,3.000,4.400,12,false,54.476,36.000,true
2.000,4,5.000,7.170,19,false,89.176,48.000,true
3.000,0,1.000,0.643,1,false,5.906,9.600,false
3.000,1,3.000,1.551,6,false,19.986,16.800,false
3.000,2,3.000,2.706,9,false,34.536,25.200,false
3.000,3,3.000,3.980,15,false,53.276,36.000,true
3.000,4,3.000,5.919,22,false,79.666,48.000,true
4.000,0,0.000,0.450,1,false,3.977,9.600,false
4.000,1,2.000,1.686,8,false,23.333,16.800,false
4.000,2,4.000,3.094,13,false,42.418,25.200,true
4.000,3,0.000,2.786,15,false,41.336,36.000,false
4.000,4,7.000,6.243,29,false,89.909,48.000,true
5.000,0,0.000,0.315,1,false,2.627,9.600,false
5.000,1,3.000,2.080,11,false,30.276,16.800,false
5.000,2,2.000,2.766,14,false,40.136,25.200,false
5.000,3,2.000,2.550,17,false,40.978,36.000,false
5.000,4,5.000,5.870,34,false,91.179,48.000,true
6.000,0,0.000,0.221,1,false,1.682,9.600,false
6.000,1,1.000,1.756,12,false,28.036,16.800,false
6.000,2,1.000,2.236,15,false,35.838,25.200,false
6.000,3,2.000,2.385,19,false,41.328,36.000,false
6.000,4,3.000,5.009,37,false,85.568,48.000,true
7.000,0,1.000,0.454,2,false,5.020,9.600,false
7.000,1,1.000,1.529,12,false,25.768,16.800,false
7.000,2,2.000,2.165,17,false,37.129,25.200,false
7.000,3,3.000,2.570,22,false,46.172,36.000,false
7.000,4,6.000,5.306,42,false,93.541,48.000,true
8.000,0,0.000,0.318,1,false,2.657,9.600,false
8.000,1,1.000,1.370,13,false,25.181,16.800,false
8.000,2,3.000,2.416,19,false,41.633,25.200,false
8.000,3,3.000,2.699,24,false,49.463,36.000,false
8.000,4,5.000,5.215,47,false,97.621,48.000,true
9.000,0,0.000,0.223,1,false,1.703,9.600,false
9.000,1,1.000,1.259,14,false,25.069,16.800,false
9.000,2,2.000,2.291,21,false,42.386,25.200,false
9.000,3,1.000,2.189,25,false,45.367,36.000,false
9.000,4,5.000,5.150,52,false,101.978,48.000,true
10.000,0,1.000,0.456,2,false,5.035,9.600,false
10.000,1,1.000,1.182,15,false,25.291,16.800,false
10.000,2,3.000,2.504,24,false,47.513,25.200,false
10.000,3,3.000,2.432,28,false,50.800,36.000,false
10.000,4,3.000,4.505,55,false,98.527,48.000,true
11.000,0,4.000,1.519,6,false,19.667,9.600,false
11.000,1,0.000,0.827,14,false,20.747,16.800,false
11.000,2,1.000,2.053,25,false,44.002,25.200,false
11.000,3,0.000,1.703,27,false,42.503,36.000,false
11.000,4,4.000,4.354,59,false,101.012,48.000,true
12.000,0,1.000,1.363,7,false,19.110,9.600,false
12.000,1,0.000,0.579,14,false,18.266,16.800,false
12.000,2,0.000,1.437,25,false,37.844,25.200,false
12.000,3,1.000,1.492,28,false,41.395,36.000,false
12.000,4,1.000,3.348,60,false,91.951,48.000,true
13.000,0,2.000,1.554,9,false,23.020,9.600,false
13.000,1,1.000,0.705,15,false,20.529,16.800,false
13.000,2,1.000,1.306,26,false,37.534,25.200,false
13.000,3,2.000,1.644,30,false,44.919,36.000,false
13.000,4,3.000,3.243,62,false,92.909,48.000,true
14.000,0,1.000,1.388,10,false,22.357,9.600,false
14.000,1,5.000,1.994,20,false,38.413,16.800,false
14.000,2,1.000,1.214,26,false,36.617,25.200,false
14.000,3,2.000,1.751,32,false,47.986,36.000,false
14.000,4,3.000,3.170,65,false,95.179,48.000,true
15.000,0,3.000,1.872,12,false,29.193,9.600,false
15.000,1,1.000,1.696,21,false,36.432,16.800,false
15.000,2,0.000,0.850,26,false,32.974,25.200,false
15.000,3,8.000,3.626,40,false,74.733,36.000,true
15.000,4,6.000,4.019,71,false,109.668,48.000,true
16.000,0,1.000,1.610,13,false,27.578,9.600,false
16.000,1,2.000,1.787,23,false,39.345,16.800,false
16.000,2,2.000,1.195,28,false,38.425,25.200,false
16.000,3,2.000,3.138,42,false,71.856,36.000,true
16.000,4,1.000,3.113,72,false,101.611,48.000,true
17.000,0,0.000,1.127,13,false,22.747,9.600,false
17.000,1,1.000,1.551,24,false,37.985,16.800,false
17.000,2,3.000,1.736,31,false,46.840,25.200,false
17.000,3,1.000,2.497,43,false,66.442,36.000,false
17.000,4,6.000,3.979,78,false,116.270,48.000,true
18.000,0,1.000,1.089,14,false,23.366,9.600,false
18.000,1,2.000,1.686,26,false,41.332,16.800,false
18.000,2,2.000,1.815,33,false,49.631,25.200,false
18.000,3,7.000,3.848,49,false,85.952,36.000,true
18.000,4,6.000,4.586,84,false,128.332,48.000,true
19.000,0,2.000,1.362,16,false,28.099,9.600,false
19.000,1,2.000,1.780,27,false,43.275,16.800,false
19.000,2,1.000,1.571,34,false,48.185,25.200,false
19.000,3,0.000,2.693,49,false,74.410,36.000,false
19.000,4,3.000,4.110,87,false,126.575,48.000,true
20.000,0,1.000,1.254,17,false,28.012,9.600,false
