time,event,task_id,node_id,priority,steps,complexity,deadline,base_execution_time,delay_multiplier,rough_score,details
0.000,ARRIVED,1,0,9,6,4.696,119.709,7.747,1.000,0.000000,
0.000,STARTED,1,0,9,6,4.696,119.709,7.747,1.000,0.000000,observed_rate=1.000
0.000,ARRIVED,2,2,9,12,1.342,100.283,4.681,1.000,0.000000,
0.000,ARRIVED,3,2,5,15,7.208,96.256,2.716,1.000,0.000000,
0.000,ARRIVED,4,2,10,7,2.921,74.140,6.470,1.000,0.000000,
0.000,STARTED,2,2,9,12,1.342,100.283,4.681,1.000,0.000000,observed_rate=3.000
0.000,ARRIVED,5,3,3,8,8.730,30.902,7.892,1.000,0.000000,
0.000,ARRIVED,6,3,3,8,5.700,82.148,2.649,1.000,0.000000,
0.000,ARRIVED,7,3,2,8,2.061,75.554,6.921,1.000,0.000000,
0.000,ARRIVED,8,3,8,13,3.467,55.771,7.823,1.000,0.000000,
0.000,ARRIVED,9,3,4,15,6.829,75.997,3.854,2.769,0.000000,
0.000,STARTED,5,3,3,8,8.730,30.902,7.892,1.000,0.000000,observed_rate=5.000
0.000,ARRIVED,10,4,7,3,5.892,87.517,6.732,1.000,0.000000,
0.000,ARRIVED,11,4,4,1,5.218,112.656,5.865,1.000,0.000000,
0.000,ARRIVED,12,4,5,18,5.475,24.640,3.701,2.757,0.000000,
0.000,ARRIVED,13,4,3,5,1.745,25.227,4.355,2.717,0.000000,
0.000,ARRIVED,14,4,8,19,8.066,110.783,7.224,2.046,0.000000,
0.000,ARRIVED,15,4,6,5,8.635,65.661,7.012,2.843,0.000000,
0.000,ARRIVED,16,4,5,3,3.125,110.923,6.938,1.000,0.000000,
0.000,ARRIVED,17,4,5,18,8.483,96.061,3.595,1.000,0.000000,
0.000,ARRIVED,18,4,2,7,2.449,40.443,4.989,1.000,0.000000,
0.000,STARTED,10,4,7,3,5.892,87.517,6.732,1.000,0.000000,observed_rate=9.000
1.000,ARRIVED,19,1,7,8,8.582,68.529,5.663,1.000,0.000000,
1.000,ARRIVED,20,1,8,3,9.775,80.817,4.288,1.000,0.000000,
1.000,ARRIVED,21,1,3,8,5.420,25.549,7.630,1.000,0.000000,
1.000,STARTED,19,1,7,8,8.582,68.529,5.663,1.000,0.000000,observed_rate=3.000
1.000,ARRIVED,22,2,3,19,4.437,91.329,7.268,1.000,0.000000,
1.000,ARRIVED,23,3,1,16,8.751,50.057,6.972,2.930,0.000000,
1.000,ARRIVED,24,3,6,18,7.800,89.206,5.575,1.000,0.000000,
1.000,ARRIVED,25,3,2,16,6.206,62.521,3.416,1.000,0.000000,
1.000,ARRIVED,26,3,6,5,5.646,52.866,5.785,1.000,0.000000,
1.000,ARRIVED,27,3,6,8,1.569,48.033,2.702,1.000,0.000000,
1.000,ARRIVED,28,4,5,3,5.639,47.870,4.831,1.851,0.000000,
1.000,ARRIVED,29,4,3,1,3.387,41.780,6.316,1.000,0.000000,
