time,event,task_id,node_id,priority,steps,complexity,deadline,base_execution_time,delay_multiplier,rough_score,details
0.000,ARRIVED,1,1,3,10,9.516,111.828,2.666,1.000,0.000000,
0.000,STARTED,1,1,3,10,9.516,111.828,2.666,1.000,0.000000,observed_rate=1.000
0.000,ARRIVED,2,2,4,14,6.541,82.836,4.040,1.000,0.000000,
0.000,ARRIVED,3,2,1,8,4.705,31.804,6.094,1.000,0.000000,
0.000,STARTED,2,2,4,14,6.541,82.836,4.040,1.000,0.000000,observed_rate=2.000
0.000,ARRIVED,4,4,9,1,7.002,115.713,6.672,1.000,0.000000,
0.000,ARRIVED,5,4,7,10,6.899,106.195,7.695,1.000,0.000000,
0.000,ARRIVED,6,4,4,1,9.580,100.510,5.735,1.000,0.000000,
0.000,STARTED,4,4,9,1,7.002,115.713,6.672,1.000,0.000000,observed_rate=3.000
1.000,ARRIVED,7,2,5,18,4.271,55.621,4.230,1.000,0.000000,
1.000,ARRIVED,8,3,10,18,8.835,55.821,2.986,1.000,0.000000,
1.000,STARTED,8,3,10,18,8.835,55.821,2.986,1.000,0.000000,observed_rate=1.000
1.000,ARRIVED,9,4,6,15,5.518,102.486,7.910,1.000,0.000000,
1.000,ARRIVED,10,4,1,7,6.579,116.790,7.682,1.637,0.000000,
1.000,ARRIVED,11,4,7,14,6.374,82.448,6.304,1.000,0.000000,
1.000,ARRIVED,12,4,2,16,9.233,23.241,3.694,1.000,0.000000,
1.000,ARRIVED,13,4,5,2,2.765,87.401,7.226,1.000,0.000000,
2.000,ARRIVED,14,0,3,10,8.179,87.859,7.666,1.000,0.000000,
2.000,ARRIVED,15,0,2,15,5.080,51.579,2.557,1.000,0.000000,
2.000,STARTED,14,0,3,10,8.179,87.859,7.666,1.000,0.000000,observed_rate=2.000
2.000,ARRIVED,16,1,5,14,8.733,83.132,5.409,2.579,0.000000,
2.000,ARRIVED,17,1,4,8,6.067,52.194,4.019,2.088,0.000000,
2.000,ARRIVED,18,1,10,12,9.323,95.250,7.119,1.000,0.000000,
2.000,ARRIVED,19,2,1,15,2.561,41.766,6.168,1.000,0.000000,
2.000,ARRIVED,20,2,8,5,3.864,22.455,4.252,1.000,0.000000,
2.000,ARRIVED,21,2,4,8,6.873,76.860,2.330,2.684,0.000000,
2.000,ARRIVED,22,2,1,11,3.109,81.297,6.503,1.000,0.000000,
2.000,ARRIVED,23,2,6,12,9.578,100.474,3.918,1.635,0.000000,
2.000,ARRIVED,24,2,8,6,4.740,121.814,2.826,1.000,0.000000,
2.000,ARRIVED,25,4,2,12,8.113,69.312,3.210,1.000,0.000000,
2.000,ARRIVED,26,4,4,14,7.523,70.842,2.043,1.789,0.000000,
2.000,ARRIVED,27,4,8,17,3.565,57.633,5.115,1.000,0.000000,
2.000,ARRIVED,28,4,1,10,1.977,94.703,4.475,1.000,0.000000,
2.000,ARRIVED,29,4,10,4,3.737,116.875,5.740,1.000,0.000000,
2.000,ARRIVED,30,4,2,11,4.676,107.092,6.657,1.000,0.000000,
2.666,FINISHED,1,1,3,10,9.516,111.828,2.666,1.000,0.000000,
2.666,STARTED,16,1,5,14,8.733,83.132,5.409,2.579,0.000000,observed_rate=3.000
2.666,OFFLOADED,17,1,4,8,6.067,52.194,4.019,2.088,0.000000,trigger=REACTIVE;observed_rate=3.000;smoothed_rate=1.390;predicted_queue=2.000;deadline_risk=false;decision_score=0.000000;offload_count=1;destination_node=-1;destination_policy=DROP
3.000,ARRIVED,31,0,9,4,1.758,101.397,7.539,1.000,0.000000,
3.000,ARRIVED,32,0,7,5,8.611,99.774,6.879,1.000,0.000000,
3.000,ARRIVED,33,0,1,4,5.710,74.754,4.841,1.000,0.000000,
3.000,ARRIVED,34,1,1,8,3.373,59.111,2.812,1.000,0.000000,
3.000,ARRIVED,35,2,4,7,8.747,75.810,5.808,2.527,0.000000,
3.000,ARRIVED,36,3,7,5,3.781,36.205,2.442,1.000,0.000000,
3.000,ARRIVED,37,3,10,4,5.325,51.545,7.019,1.000,0.000000,
3.000,ARRIVED,38,3,4,12,5.414,108.607,5.186,1.000,0.000000,
3.000,ARRIVED,39,3,7,13,9.542,48.735,7.484,1.000,0.000000,
3.000,ARRIVED,40,3,1,1,4.436,117.087,2.309,1.000,0.000000,
3.000,ARRIVED,41,4,6,1,9.552,65.436,5.259,1.000,0.000000,
3.000,ARRIVED,42,4,3,13,3.335,111.724,4.048,1.000,0.000000,
3.000,ARRIVED,43,4,1,7,6.254,55.314,3.984,1.000,0.000000,
3.000,ARRIVED,44,4,2,20,1.922,46.932,4.033,1.000,0.000000,
3.000,ARRIVED,45,4,4,4,4.771,49.549,2.182,1.000,0.000000,
3.000,ARRIVED,46,4,7,6,2.514,41.407,5.060,1.000,0.000000,
3.000,ARRIVED,47,4,5,6,5.262,101.828,6.192,1.000,0.000000,
3.000,ARRIVED,48,4,9,13,5.500,42.104,2.718,2.473,0.000000,
3.986,FINISHED,8,3,10,18,8.835,55.821,2.986,1.000,0.000000,
3.986,STARTED,36,3,7,5,3.781,36.205,2.442,1.000,0.000000,observed_rate=5.000
4.000,ARRIVED,49,0,10,4,8.681,45.152,3.300,1.000,0.000000,
4.000,ARRIVED,50,1,6,20,5.634,63.039,5.877,1.000,0.000000,
4.000,ARRIVED,51,1,3,5,1.294,55.899,2.290,1.000,0.000000,
4.000,ARRIVED,52,2,2,13,1.685,76.419,6.775,1.000,0.000000,
4.000,ARRIVED,53,2,7,10,6.092,52.181,5.644,1.000,0.000000,
4.000,ARRIVED,54,2,6,14,7.777,47.985,5.854,1.000,0.000000,
4.000,ARRIVED,55,2,10,16,1.803,104.350,4.190,1.000,0.000000,
4.000,ARRIVED,56,2,1,12,2.357,58.399,6.911,1.000,0.000000,
4.000,ARRIVED,57,3,5,5,2.726,56.852,6.094,1.000,0.000000,
4.000,ARRIVED,58,3,9,18,1.532,46.072,7.641,1.000,0.000000,
4.000,ARRIVED,59,4,3,13,1.468,86.241,7.847,2.556,0.000000,
4.040,FINISHED,2,2,4,14,6.541,82.836,4.040,1.000,0.000000,
4.040,STARTED,3,2,1,8,4.705,31.804,6.094,1.000,0.000000,observed_rate=5.000
5.000,ARRIVED,60,0,10,20,4.892,72.842,5.638,2.656,0.000000,
5.000,ARRIVED,61,0,10,3,1.534,108.170,2.333,1.000,0.000000,
5.000,ARRIVED,62,0,10,4,1.025,103.867,7.862,1.000,0.000000,
5.000,ARRIVED,63,1,10,16,2.762,72.741,4.204,1.000,0.000000,
