time,event,task_id,node_id,priority,steps,complexity,deadline,base_execution_time,delay_multiplier,rough_score,details
0.000,ARRIVED,1,0,1,8,7.040,35.474,7.420,1.000,0.000000,
0.000,ARRIVED,2,0,8,2,2.363,55.794,3.682,1.000,0.000000,
0.000,ARRIVED,3,0,8,20,2.727,41.147,3.513,1.000,0.000000,
0.000,STARTED,1,0,1,8,7.040,35.474,7.420,1.000,0.000000,observed_rate=3.000
0.000,OFFLOADED,3,0,8,20,2.727,41.147,3.513,1.000,1.802762,trigger=PROACTIVE;observed_rate=3.000;smoothed_rate=3.000;predicted_queue=30.476;deadline_risk=false;decision_score=1.802762;offload_count=1;destination_node=1;destination_policy=LEAST_QUEUE
0.000,RECEIVED_OFFLOAD,3,1,8,20,2.727,41.147,3.513,1.000,1.802762,source_node=0;rough_score=1.802762
0.000,STARTED,3,1,8,20,2.727,41.147,3.513,1.000,1.802762,observed_rate=0.000
0.000,ARRIVED,4,1,4,19,8.158,83.046,2.991,1.000,0.000000,
0.000,ARRIVED,5,2,3,9,3.694,82.038,2.503,2.669,0.000000,
0.000,ARRIVED,6,2,8,9,4.982,113.922,7.874,1.909,0.000000,
0.000,ARRIVED,7,2,5,14,7.163,54.392,2.069,1.000,0.000000,
0.000,STARTED,5,2,3,9,3.694,82.038,2.503,2.669,0.000000,observed_rate=3.000
0.000,OFFLOADED,6,2,8,9,4.982,113.922,7.874,1.909,1.516485,trigger=REACTIVE;observed_rate=3.000;smoothed_rate=3.000;predicted_queue=2.000;deadline_risk=false;decision_score=1.516485;offload_count=1;destination_node=3;destination_policy=LEAST_QUEUE
0.000,RECEIVED_OFFLOAD,6,3,8,9,4.982,113.922,7.874,1.909,1.516485,source_node=2;rough_score=1.516485
0.000,STARTED,6,3,8,9,4.982,113.922,7.874,1.909,1.516485,observed_rate=0.000
0.000,ARRIVED,8,3,4,12,7.825,31.593,7.019,1.855,0.000000,
0.000,ARRIVED,9,3,1,4,1.339,67.005,5.028,1.000,0.000000,
0.000,ARRIVED,10,4,9,7,5.718,105.932,3.530,1.000,0.000000,
0.000,ARRIVED,11,4,10,8,2.824,23.092,6.554,1.000,0.000000,
0.000,ARRIVED,12,4,2,18,8.307,91.302,5.490,1.000,0.000000,
0.000,ARRIVED,13,4,4,15,7.838,22.335,6.292,1.000,0.000000,
0.000,ARRIVED,14,4,9,13,4.754,109.381,5.274,1.000,0.000000,
0.000,STARTED,10,4,9,7,5.718,105.932,3.530,1.000,0.000000,observed_rate=5.000
