time,node_id,observed_arrival_rate,smoothed_arrival_rate,waiting_queue_size,idle,predicted_queue_size,proactive_queue_threshold,proactive_risk
0.000,0,0.000,0.000,0,true,0.000,9.600,false
0.000,1,1.000,1.000,0,false,8.476,16.800,false
0.000,2,4.000,4.000,2,false,41.476,25.200,true
0.000,3,5.000,5.000,2,false,50.476,36.000,true
0.000,4,5.000,5.000,2,false,52.476,48.000,true
1.000,0,1.000,0.300,3,false,4.476,9.600,false
1.000,1,1.000,1.000,3,false,11.476,16.800,false
1.000,2,1.000,3.100,3,false,32.476,25.200,true
1.000,3,2.000,4.100,4,false,43.476,36.000,true
1.000,4,8.000,5.900,10,false,67.476,48.000,true
2.000,0,0.000,0.210,3,false,3.576,9.600,false
2.000,1,1.000,1.000,4,false,12.476,16.800,false
2.000,2,3.000,3.070,6,false,35.176,25.200,true
2.000,3,5.000,4.370,9,false,51.176,36.000,true
2.000,4,5.000,5.630,15,false,69.776,48.000,true
3.000,0,1.000,0.447,4,false,6.946,9.600,false
3.000,1,2.000,1.300,6,false,17.476,16.800,false
3.000,2,1.000,2.449,7,false,29.966,25.200,false
3.000,3,4.000,4.259,13,false,54.066,36.000,true
3.000,4,5.000,5.441,20,false,72.886,48.000,true
4.000,0,1.000,0.613,7,false,11.605,9.600,false
4.000,1,4.000,2.110,7,false,26.576,16.800,true
4.000,2,2.000,2.314,9,false,30.619,25.200,false
4.000,3,4.000,4.181,17,false,57.289,36.000,true
4.000,4,0.000,3.809,19,false,55.563,48.000,false
5.000,0,1.000,0.729,7,false,12.766,9.600,false
5.000,1,3.000,2.377,10,false,32.246,16.800,true
5.000,2,1.000,1.920,10,false,27.676,25.200,false
5.000,3,0.000,2.927,17,false,44.745,36.000,false
5.000,4,2.000,3.266,21,false,52.137,48.000,false
6.000,0,1.000,0.810,8,false,14.579,9.600,false
6.000,1,1.000,1.964,11,false,29.115,16.800,true
6.000,2,3.000,2.244,13,false,33.916,25.200,false
6.000,3,2.000,2.649,19,false,43.965,36.000,false
6.000,4,5.000,3.786,26,false,62.339,48.000,false
7.000,0,0.000,0.567,8,false,12.148,9.600,false
7.000,1,2.000,1.975,13,false,31.223,16.800,true
7.000,2,0.000,1.571,13,false,27.184,25.200,false
7.000,3,4.000,3.054,23,false,52.018,36.000,false
7.000,4,3.000,3.550,29,false,62.980,48.000,false
8.000,0,1.000,0.697,9,false,14.447,9.600,false
8.000,1,2.000,1.982,15,false,33.299,16.800,true
8.000,2,1.000,1.400,13,false,25.472,25.200,false
8.000,3,1.000,2.438,24,false,46.855,36.000,false
8.000,4,1.000,2.785,30,false,56.329,48.000,false
9.000,0,1.000,0.788,10,false,16.356,9.600,false
9.000,1,0.000,1.388,15,false,27.352,16.800,false
9.000,2,1.000,1.280,14,false,25.273,25.200,false
9.000,3,1.000,2.007,25,false,43.542,36.000,false
9.000,4,3.000,2.850,32,false,58.973,48.000,false
10.000,0,0.000,0.552,10,false,13.992,9.600,false
10.000,1,0.000,0.971,15,false,23.190,16.800,false
10.000,2,1.000,1.196,15,false,25.434,25.200,false
10.000,3,3.000,2.305,28,false,49.522,36.000,false
10.000,4,4.000,3.195,36,false,66.424,48.000,false
11.000,0,0.000,0.386,10,false,12.337,9.600,false
11.000,1,1.000,0.980,16,false,24.276,16.800,false
11.000,2,3.000,1.737,17,false,32.847,25.200,false
11.000,3,2.000,2.213,30,false,50.608,36.000,false
11.000,4,3.000,3.136,39,false,68.840,48.000,false
12.000,0,1.000,0.570,10,false,14.179,9.600,false
12.000,1,1.000,0.986,17,false,25.336,16.800,false
12.000,2,2.000,1.816,19,false,35.636,25.200,false
12.000,3,3.000,2.449,33,false,55.969,36.000,false
12.000,4,1.000,2.495,40,false,63.431,48.000,false
13.000,0,3.000,1.299,9,false,24.468,9.600,true
13.000,1,2.000,1.290,22,false,33.378,16.800,false
13.000,2,1.000,1.571,21,false,35.188,25.200,false
13.000,3,6.000,3.514,39,false,72.621,36.000,false
13.000,4,3.000,2.647,42,false,66.944,48.000,false
14.000,0,0.000,0.909,9,false,16.570,9.600,false
14.000,1,2.000,1.503,24,false,37.507,16.800,false
14.000,2,2.000,1.700,23,false,38.474,25.200,false
14.000,3,1.000,2.760,40,false,66.078,36.000,false
14.000,4,5.000,3.353,47,false,79.004,48.000,false
15.000,0,0.000,0.637,9,false,13.842,9.600,false
15.000,1,2.000,1.652,26,false,40.998,16.800,false
15.000,2,3.000,2.090,26,false,45.375,25.200,false
15.000,3,2.000,2.532,42,false,65.797,36.000,false
15.000,4,0.000,2.347,47,false,68.946,48.000,false
16.000,0,0.000,0.446,8,false,10.932,9.600,false
16.000,1,1.000,1.457,26,false,39.041,16.800,false
16.000,2,3.000,2.363,29,false,51.105,25.200,false
16.000,3,4.000,2.972,46,false,74.201,36.000,false
16.000,4,4.000,2.843,51,false,77.905,48.000,false
17.000,0,1.000,0.612,9,false,13.596,9.600,false
17.000,1,0.000,1.020,26,false,34.672,16.800,false
17.000,2,1.000,1.954,30,false,48.017,25.200,false
17.000,3,1.000,2.381,47,false,69.283,36.000,false
17.000,4,6.000,3.790,57,false,93.376,48.000,false
18.000,0,1.000,0.728,9,false,14.760,9.600,false
18.000,1,0.000,0.714,26,false,31.613,16.800,false
18.000,2,3.000,2.268,32,false,53.154,25.200,false
18.000,3,2.000,2.267,48,false,69.141,36.000,false
18.000,4,1.000,2.953,58,false,86.006,48.000,false
19.000,0,0.000,0.510,9,false,12.575,9.600,false
19.000,1,0.000,0.500,26,false,29.472,16.800,false
19.000,2,2.000,2.187,34,false,54.351,25.200,false
19.000,3,6.000,3.387,54,false,86.342,36.000,false
19.000,4,2.000,2.667,60,false,85.147,48.000,false
20.000,0,1.000,0.657,10,false,15.045,9.600,false
20.000,1,1.000,0.650,27,false,31.973,16.800,false
20.000,2,2.000,2.131,36,false,55.789,25.200,false
20.000,3,4.000,3.571,58,false,92.182,36.000,false
20.000,4,4.000,3.067,64,false,93.146,48.000,false
21.000,0,0.000,0.460,10,false,13.074,9.600,false
21.000,1,0.000,0.455,27,false,30.024,16.800,false
21.000,2,2.000,2.092,38,false,57.395,25.200,false
21.000,3,4.000,3.699,62,false,97.470,36.000,true
21.000,4,4.000,3.347,68,false,99.945,48.000,false
22.000,0,1.000,0.622,10,false,14.695,9.600,false
22.000,1,3.000,1.218,30,false,40.660,16.800,false
22.000,2,1.000,1.764,39,false,55.119,25.200,false
22.000,3,3.000,3.490,65,false,98.372,36.000,false
22.000,4,2.000,2.943,69,false,96.904,48.000,false
23.000,0,3.000,1.335,13,false,24.829,9.600,true
23.000,1,1.000,1.153,31,false,41.005,16.800,false
23.000,2,3.000,2.135,42,false,61.826,25.200,false
23.000,3,4.000,3.643,68,false,102.903,36.000,true
23.000,4,8.000,4.460,77,false,120.076,48.000,false
24.000,0,0.000,0.935,13,false,20.823,9.600,false
24.000,1,2.000,1.407,33,false,45.546,16.800,false
24.000,2,1.000,1.795,43,false,59.421,25.200,false
24.000,3,3.000,3.450,71,false,103.975,36.000,false
24.000,4,2.000,3.722,79,false,114.696,48.000,false
25.000,0,1.000,0.954,14,false,22.019,9.600,false
25.000,1,1.000,1.285,34,false,45.325,16.800,false
25.000,2,2.000,1.856,45,false,62.038,25.200,false
25.000,3,5.000,3.915,75,false,112.625,36.000,true
25.000,4,7.000,4.705,86,false,131.530,48.000,false
26.000,0,1.000,0.968,14,false,22.156,9.600,true
26.000,1,2.000,1.499,36,false,49.470,16.800,false
26.000,2,1.000,1.599,45,false,59.469,25.200,false
26.000,3,4.000,3.940,79,false,116.881,36.000,true
26.000,4,4.000,4.494,90,false,133.414,48.000,false
27.000,0,0.000,0.678,14,false,19.252,9.600,false
27.000,1,0.000,1.050,35,false,43.972,16.800,false
27.000,2,4.000,2.320,49,false,70.671,25.200,false
27.000,3,1.000,3.058,80,false,109.059,36.000,false
27.000,4,2.000,3.746,92,false,127.933,48.000,false
28.000,0,1.000,0.774,15,false,21.219,9.600,false
28.000,1,1.000,1.035,36,false,44.823,16.800,false
28.000,2,4.000,2.824,53,false,79.713,25.200,true
28.000,3,5.000,3.641,85,false,119.884,36.000,true
