time,event,task_id,node_id,priority,steps,complexity,deadline,base_execution_time,delay_multiplier,rough_score,details
0.000,ARRIVED,1,0,9,9,3.473,78.451,4.691,1.000,0.000000,
0.000,ARRIVED,2,0,6,16,5.019,67.025,4.037,1.000,0.000000,
0.000,STARTED,1,0,9,9,3.473,78.451,4.691,1.000,0.000000,observed_rate=2.000
0.000,OFFLOADED,2,0,6,16,5.019,67.025,4.037,1.000,0.000000,trigger=PROACTIVE;observed_rate=2.000;smoothed_rate=2.000;predicted_queue=19.476;deadline_risk=false;decision_score=0.000000;offload_count=1;destination_node=1;destination_policy=LEAST_QUEUE
0.000,RECEIVED_OFFLOAD,2,1,6,16,5.019,67.025,4.037,1.000,0.000000,source_node=0;rough_score=0.000000
0.000,STARTED,2,1,6,16,5.019,67.025,4.037,1.000,0.000000,observed_rate=0.000
0.000,ARRIVED,3,1,7,7,2.790,27.925,6.829,1.000,0.000000,
0.000,ARRIVED,4,2,3,6,3.185,114.111,7.458,1.000,0.000000,
0.000,ARRIVED,5,2,4,1,2.923,38.031,5.404,2.114,0.000000,
0.000,ARRIVED,6,2,3,1,9.088,104.935,7.317,1.000,0.000000,
0.000,STARTED,4,2,3,6,3.185,114.111,7.458,1.000,0.000000,observed_rate=3.000
0.000,OFFLOADED,5,2,4,1,2.923,38.031,5.404,2.114,0.000000,trigger=PROACTIVE;observed_rate=3.000;smoothed_rate=3.000;predicted_queue=30.476;deadline_risk=false;decision_score=0.000000;offload_count=1;destination_node=0;destination_policy=LEAST_QUEUE
0.000,RECEIVED_OFFLOAD,5,0,4,1,2.923,38.031,5.404,2.114,0.000000,source_node=2;rough_score=0.000000
0.000,ARRIVED,7,3,6,5,7.022,41.063,3.114,2.871,0.000000,
0.000,ARRIVED,8,3,4,1,5.432,104.957,2.670,2.826,0.000000,
0.000,ARRIVED,9,3,1,5,3.801,104.469,7.253,1.000,0.000000,
0.000,ARRIVED,10,3,8,9,3.279,54.318,3.793,1.000,0.000000,
0.000,STARTED,7,3,6,5,7.022,41.063,3.114,2.871,0.000000,observed_rate=4.000
0.000,OFFLOADED,8,3,4,1,5.432,104.957,2.670,2.826,0.000000,trigger=REACTIVE;observed_rate=4.000;smoothed_rate=4.000;predicted_queue=3.000;deadline_risk=false;decision_score=0.000000;offload_count=1;destination_node=4;destination_policy=LEAST_QUEUE
0.000,RECEIVED_OFFLOAD,8,4,4,1,5.432,104.957,2.670,2.826,0.000000,source_node=3;rough_score=0.000000
0.000,STARTED,8,4,4,1,5.432,104.957,2.670,2.826,0.000000,observed_rate=0.000
0.000,OFFLOADED,9,3,1,5,3.801,104.469,7.253,1.000,0.000000,trigger=REACTIVE;observed_rate=4.000;smoothed_rate=4.000;predicted_queue=3.000;deadline_risk=false;decision_score=0.000000;offload_count=1;destination_node=4;destination_policy=LEAST_QUEUE
0.000,RECEIVED_OFFLOAD,9,4,1,5,3.801,104.469,7.253,1.000,0.000000,source_node=3;rough_score=0.000000
0.000,ARRIVED,11,4,4,10,1.344,89.660,5.229,1.000,0.000000,
0.000,ARRIVED,12,4,6,19,6.551,43.730,2.063,1.000,0.000000,
0.000,ARRIVED,13,4,7,16,4.728,110.289,3.980,1.000,0.000000,
0.000,ARRIVED,14,4,4,19,2.290,31.437,2.328,1.000,0.000000,
0.000,ARRIVED,15,4,1,9,8.068,50.896,4.709,1.000,0.000000,
0.000,ARRIVED,16,4,7,11,9.485,89.692,6.161,1.000,0.000000,
0.000,OFFLOADED,11,4,4,10,1.344,89.660,5.229,1.000,0.000000,trigger=PROACTIVE;observed_rate=6.000;smoothed_rate=6.000;predicted_queue=65.476;deadline_risk=true;decision_score=0.000000;offload_count=1;destination_node=0;destination_policy=LEAST_QUEUE
0.000,RECEIVED_OFFLOAD,11,0,4,10,1.344,89.660,5.229,1.000,0.000000,source_node=4;rough_score=0.000000
0.000,OFFLOADED,12,4,6,19,6.551,43.730,2.063,1.000,0.000000,trigger=PROACTIVE;observed_rate=6.000;smoothed_rate=6.000;predicted_queue=65.476;deadline_risk=true;decision_score=0.000000;offload_count=1;destination_node=1;destination_policy=LEAST_QUEUE
