time,node_id,observed_arrival_rate,smoothed_arrival_rate,waiting_queue_size,idle,predicted_queue_size,proactive_queue_threshold,proactive_risk
0.000,0,0.000,0.000,0,true,0.000,9.600,false
0.000,1,1.000,1.000,0,false,8.476,16.800,false
0.000,2,2.000,2.000,1,false,19.476,25.200,false
0.000,3,0.000,0.000,0,true,0.000,36.000,false
0.000,4,3.000,3.000,2,false,30.476,48.000,false
1.000,0,0.000,0.000,0,true,0.000,9.600,false
1.000,1,0.000,0.700,0,false,5.476,16.800,false
1.000,2,1.000,1.700,2,false,17.476,25.200,false
1.000,3,1.000,0.300,0,false,1.476,36.000,false
1.000,4,5.000,3.600,7,false,41.476,48.000,false
2.000,0,2.000,0.600,1,false,5.476,9.600,false
2.000,1,3.000,1.390,3,false,15.376,16.800,false
2.000,2,6.000,2.990,4,false,36.376,25.200,true
2.000,3,0.000,0.210,2,false,2.576,36.000,false
2.000,4,6.000,4.320,13,false,54.676,48.000,false
3.000,0,3.000,1.320,3,false,17.676,9.600,true
3.000,1,1.000,1.273,5,false,16.206,16.800,false
3.000,2,1.000,2.393,5,false,27.406,25.200,false
3.000,3,5.000,1.647,8,false,22.946,36.000,false
3.000,4,8.000,5.424,12,false,73.716,48.000,true
4.000,0,1.000,1.224,9,false,19.716,9.600,true
4.000,1,2.000,1.491,9,false,22.387,16.800,false
4.000,2,5.000,3.175,12,false,42.227,25.200,true
4.000,3,2.000,1.753,9,false,25.005,36.000,false
4.000,4,1.000,4.097,13,false,52.444,48.000,false
5.000,0,3.000,1.757,12,false,28.044,9.600,true
5.000,1,2.000,1.644,11,false,25.914,16.800,false
5.000,2,1.000,2.523,12,false,35.702,25.200,true
5.000,3,3.000,2.127,12,false,31.746,36.000,false
5.000,4,4.000,4.068,17,false,56.154,48.000,false
6.000,0,0.000,1.230,12,false,22.774,9.600,true
6.000,1,0.000,1.151,11,false,20.983,16.800,false
6.000,2,0.000,1.766,12,false,28.134,25.200,false
6.000,3,4.000,2.689,16,false,41.365,36.000,false
6.000,4,3.000,3.747,20,false,55.951,48.000,false
7.000,0,1.000,1.161,13,false,23.085,9.600,true
7.000,1,1.000,1.105,12,false,21.531,16.800,false
7.000,2,2.000,1.836,14,false,30.837,25.200,false
7.000,3,3.000,2.782,19,false,45.299,36.000,false
7.000,4,3.000,3.523,22,false,55.708,48.000,false
8.000,0,0.000,0.813,13,false,19.602,9.600,false
8.000,1,1.000,1.074,13,false,22.214,16.800,false
8.000,2,2.000,1.885,16,false,33.329,25.200,false
8.000,3,4.000,3.148,23,false,52.952,36.000,false
8.000,4,3.000,3.366,25,false,57.139,48.000,false
9.000,0,0.000,0.569,13,false,17.164,9.600,false
9.000,1,2.000,1.352,15,false,26.993,16.800,false
9.000,2,2.000,1.920,18,false,35.673,25.200,false
9.000,3,2.000,2.803,25,false,51.509,36.000,false
9.000,4,2.000,2.956,27,false,55.040,48.000,false
10.000,0,2.000,0.998,14,false,22.458,9.600,true
10.000,1,0.000,0.946,15,false,22.938,16.800,false
10.000,2,3.000,2.244,21,false,41.914,25.200,false
10.000,3,5.000,3.462,30,false,63.099,36.000,false
10.000,4,7.000,4.169,34,false,74.171,48.000,false
11.000,0,0.000,0.699,14,false,19.463,9.600,false
11.000,1,3.000,1.562,18,false,32.099,16.800,false
11.000,2,5.000,3.071,25,false,54.183,25.200,true
11.000,3,3.000,3.324,32,false,63.712,36.000,false
11.000,4,6.000,4.719,40,false,85.662,48.000,false
12.000,0,0.000,0.489,14,false,17.367,9.600,false
12.000,1,2.000,1.694,20,false,35.412,16.800,true
12.000,2,3.000,3.049,28,false,56.971,25.200,true
12.000,3,2.000,2.927,34,false,61.742,36.000,false
12.000,4,5.000,4.803,44,false,90.507,48.000,true
13.000,0,2.000,0.942,16,false,23.900,9.600,false
13.000,1,1.000,1.486,21,false,34.332,16.800,false
13.000,2,3.000,3.035,31,false,59.822,25.200,true
13.000,3,3.000,2.949,37,false,64.962,36.000,false
13.000,4,4.000,4.562,48,false,92.097,48.000,false
14.000,0,0.000,0.660,15,false,20.073,9.600,false
14.000,1,0.000,1.040,21,false,29.875,16.800,false
14.000,2,1.000,2.424,32,false,54.718,25.200,false
14.000,3,4.000,3.264,41,false,72.116,36.000,false
14.000,4,6.000,4.993,54,false,102.411,48.000,true
15.000,0,1.000,0.762,16,false,22.094,9.600,false
15.000,1,3.000,1.628,24,false,38.755,16.800,false
15.000,2,5.000,3.197,37,false,67.446,25.200,true
15.000,3,5.000,3.785,36,false,82.324,36.000,true
15.000,4,3.000,4.395,57,false,99.431,48.000,false
16.000,0,0.000,0.533,25,false,28.809,9.600,false
16.000,1,1.000,1.440,26,false,38.872,16.800,false
16.000,2,2.000,2.838,39,false,65.855,25.200,true
16.000,3,4.000,3.849,40,false,76.970,36.000,true
16.000,4,3.000,3.977,60,false,98.244,48.000,false
17.000,0,1.000,0.673,26,false,31.209,9.600,false
17.000,1,0.000,1.008,25,false,33.553,16.800,false
17.000,2,2.000,2.587,40,false,64.341,25.200,true
17.000,3,2.000,3.295,41,false,72.422,36.000,false
17.000,4,6.000,4.584,65,false,109.314,48.000,false
18.000,0,1.000,0.771,27,false,33.189,9.600,false
18.000,1,1.000,1.005,26,false,34.530,16.800,false
18.000,2,4.000,3.011,44,false,72.582,25.200,true
18.000,3,2.000,2.906,43,false,70.538,36.000,false
18.000,4,6.000,5.009,71,false,119.563,48.000,true
19.000,0,1.000,0.840,27,false,33.875,9.600,false
19.000,1,3.000,1.604,29,false,43.514,16.800,false
19.000,2,0.000,2.107,44,false,63.550,25.200,false
19.000,3,1.000,2.334,44,false,65.819,36.000,false
19.000,4,6.000,5.306,77,false,128.537,48.000,true
20.000,0,5.000,2.088,32,false,51.355,9.600,true
20.000,1,0.000,1.123,29,false,38.703,16.800,false
20.000,2,1.000,1.775,45,false,61.228,25.200,false
20.000,3,0.000,1.634,44,false,58.817,36.000,false
20.000,4,2.000,4.314,79,false,120.619,48.000,false
21.000,0,0.000,1.462,32,false,45.092,9.600,true
21.000,1,1.000,1.086,30,false,39.335,16.800,false
21.000,2,3.000,2.143,48,false,67.902,25.200,false
21.000,3,4.000,2.344,48,false,69.914,36.000,false
21.000,4,9.000,5.720,88,false,143.676,48.000,true
22.000,0,0.000,1.023,32,false,40.707,9.600,true
22.000,1,2.000,1.360,32,false,44.077,16.800,false
22.000,2,2.000,2.100,50,false,69.475,25.200,false
22.000,3,3.000,2.541,51,false,74.883,36.000,false
22.000,4,9.000,6.704,97,false,162.516,48.000,true
23.000,0,0.000,0.716,31,false,36.638,9.600,false
23.000,1,2.000,1.552,34,false,47.997,16.800,false
23.000,2,6.000,3.270,56,false,87.175,25.200,true
23.000,3,3.000,2.678,54,false,79.261,36.000,false
23.000,4,7.000,6.793,103,false,169.404,48.000,true
24.000,0,0.000,0.501,31,false,34.489,9.600,false
24.000,1,1.000,1.386,34,false,46.341,16.800,false
24.000,2,5.000,3.789,60,false,96.365,25.200,true
24.000,3,3.000,2.775,57,false,83.225,36.000,false
24.000,4,3.000,5.655,106,false,161.026,48.000,true
25.000,0,1.000,0.651,32,false,36.985,9.600,false
25.000,1,4.000,2.171,38,false,58.181,16.800,true
25.000,2,4.000,3.852,64,false,100.999,25.200,true
25.000,3,3.000,2.842,59,false,85.901,36.000,false
25.000,4,5.000,5.458,111,false,164.061,48.000,true
26.000,0,0.000,0.456,32,false,35.033,9.600,false
26.000,1,2.000,2.119,40,false,59.670,16.800,true
26.000,2,1.000,2.997,65,false,93.442,25.200,true
26.000,3,5.000,3.490,64,false,97.373,36.000,false
26.000,4,4.000,5.021,115,false,163.685,48.000,true
27.000,0,2.000,0.919,34,false,41.666,9.600,false
27.000,1,0.000,1.484,39,false,52.312,16.800,false
27.000,2,4.000,3.298,68,false,99.452,25.200,true
27.000,3,2.000,3.043,66,false,94.904,36.000,false
27.000,4,3.000,4.415,118,false,160.623,48.000,false
28.000,0,0.000,0.643,34,false,38.909,9.600,false
28.000,1,1.000,1.338,40,false,51.861,16.800,false
28.000,2,5.000,3.808,73,false,109.559,25.200,true
28.000,3,4.000,3.330,70,false,101.776,36.000,false
