time,node_id,observed_arrival_rate,smoothed_arrival_rate,waiting_queue_size,idle,predicted_queue_size,proactive_queue_threshold,proactive_risk
0.000,0,3.000,3.000,2,false,30.476,9.600,true
0.000,1,0.000,0.000,0,true,0.000,16.800,false
0.000,2,0.000,0.000,0,true,0.000,25.200,false
0.000,3,6.000,6.000,5,false,63.476,36.000,true
0.000,4,4.000,4.000,3,false,41.476,48.000,false
1.000,0,1.000,2.400,3,false,25.476,9.600,true
1.000,1,0.000,0.000,0,true,0.000,16.800,false
1.000,2,4.000,1.200,3,false,13.476,25.200,false
1.000,3,8.000,6.600,13,false,77.476,36.000,true
1.000,4,4.000,4.000,7,false,45.476,48.000,false
2.000,0,0.000,1.680,3,false,18.276,9.600,true
2.000,1,2.000,0.600,1,false,5.476,16.800,false
2.000,2,2.000,1.440,5,false,17.876,25.200,false
2.000,3,4.000,5.820,17,false,73.676,36.000,true
2.000,4,5.000,4.300,12,false,53.476,48.000,false
3.000,0,1.000,1.476,4,false,17.236,9.600,true
3.000,1,3.000,1.320,4,false,15.676,16.800,false
3.000,2,1.000,1.308,6,false,17.556,25.200,false
3.000,3,1.000,4.374,17,false,59.216,36.000,true
3.000,4,2.000,3.610,14,false,48.576,48.000,false
4.000,0,0.000,1.033,4,false,12.808,9.600,true
4.000,1,2.000,1.524,6,false,19.716,16.800,false
4.000,2,2.000,1.516,8,false,21.632,25.200,false
4.000,3,2.000,3.662,19,false,54.094,36.000,true
4.000,4,8.000,4.927,22,false,69.746,48.000,true
5.000,0,1.000,1.023,5,false,13.709,9.600,true
5.000,1,1.000,1.367,7,false,19.144,16.800,false
5.000,2,4.000,2.261,11,false,32.085,25.200,false
5.000,3,0.000,2.563,18,false,42.109,36.000,false
5.000,4,4.000,4.649,26,false,70.965,48.000,false
6.000,0,1.000,1.016,6,false,14.639,9.600,true
6.000,1,0.000,0.957,7,false,15.044,16.800,false
6.000,2,2.000,2.183,13,false,33.303,25.200,false
6.000,3,1.000,2.094,19,false,38.419,36.000,false
6.000,4,6.000,5.054,32,false,81.018,48.000,true
7.000,0,0.000,0.711,6,false,11.590,9.600,false
7.000,1,0.000,0.670,7,false,12.174,16.800,false
7.000,2,2.000,2.128,15,false,34.755,25.200,false
7.000,3,5.000,2.966,24,false,52.136,36.000,false
7.000,4,6.000,5.338,38,false,89.856,48.000,true
8.000,0,1.000,0.798,7,false,13.456,9.600,false
8.000,1,1.000,0.769,8,false,14.164,16.800,false
8.000,2,3.000,2.389,18,false,40.371,25.200,false
8.000,3,3.000,2.976,27,false,55.238,36.000,false
8.000,4,4.000,4.937,42,false,89.842,48.000,true
9.000,0,1.000,0.859,8,false,15.062,9.600,false
9.000,1,2.000,1.138,10,false,19.858,16.800,false
9.000,2,1.000,1.973,19,false,37.203,25.200,false
9.000,3,1.000,2.383,28,false,50.310,36.000,false
9.000,4,11.000,6.756,53,false,119.032,48.000,true
10.000,0,0.000,0.601,8,false,12.486,9.600,false
10.000,1,3.000,1.697,13,false,28.443,16.800,true
10.000,2,4.000,2.581,23,false,47.285,25.200,true
10.000,3,2.000,2.268,30,false,51.160,36.000,false
10.000,4,5.000,6.229,58,false,118.765,48.000,true
11.000,0,2.000,1.021,10,false,18.683,9.600,true
11.000,1,0.000,1.188,13,false,23.353,16.800,false
11.000,2,2.000,2.407,24,false,46.542,25.200,false
11.000,3,3.000,2.488,32,false,55.355,36.000,false
11.000,4,5.000,5.860,63,false,120.079,48.000,true
12.000,0,1.000,1.014,11,false,19.621,9.600,true
12.000,1,3.000,1.731,16,false,31.790,16.800,true
12.000,2,2.000,2.285,26,false,47.322,25.200,false
12.000,3,3.000,2.641,35,false,59.891,36.000,false
12.000,4,2.000,4.702,65,false,110.498,48.000,false
13.000,0,1.000,1.010,12,false,20.578,9.600,true
13.000,1,0.000,1.212,16,false,26.596,16.800,false
13.000,2,3.000,2.499,29,false,52.469,25.200,false
13.000,3,3.000,2.749,38,false,63.967,36.000,false
13.000,4,7.000,5.392,72,false,124.391,48.000,true
14.000,0,0.000,0.707,12,false,17.547,9.600,false
14.000,1,4.000,2.048,20,false,38.960,16.800,true
14.000,2,2.000,2.349,31,false,52.971,25.200,false
14.000,3,2.000,2.524,40,false,63.719,36.000,false
14.000,4,0.000,3.774,72,false,108.217,48.000,false
15.000,0,1.000,0.795,13,false,19.426,9.600,false
15.000,1,3.000,2.334,23,false,44.815,16.800,true
15.000,2,3.000,2.545,33,false,56.922,25.200,true
15.000,3,5.000,3.267,45,false,76.146,36.000,false
15.000,4,5.000,4.142,77,false,116.895,48.000,false
16.000,0,1.000,0.856,13,false,20.041,9.600,false
16.000,1,1.000,1.934,24,false,41.813,16.800,true
16.000,2,4.000,2.981,37,false,65.289,25.200,true
16.000,3,5.000,3.787,50,false,86.345,36.000,true
16.000,4,3.000,3.799,80,false,116.469,48.000,false
17.000,0,0.000,0.600,13,false,17.472,9.600,false
17.000,1,2.000,1.954,25,false,43.012,16.800,true
17.000,2,1.000,2.387,38,false,60.345,25.200,false
17.000,3,5.000,4.151,55,false,94.985,36.000,true
17.000,4,6.000,4.460,86,false,129.071,48.000,false
18.000,0,1.000,0.720,14,false,19.673,9.600,false
18.000,1,1.000,1.668,26,false,41.151,16.800,false
18.000,2,3.000,2.571,41,false,65.184,25.200,true
18.000,3,1.000,3.206,55,false,85.532,36.000,false
18.000,4,3.000,4.022,89,false,127.693,48.000,false
19.000,0,2.000,1.104,16,false,25.514,9.600,true
19.000,1,2.000,1.767,28,false,44.149,16.800,true
19.000,2,1.000,2.100,41,false,60.472,25.200,false
19.000,3,3.000,3.144,58,false,87.915,36.000,false
19.000,4,4.000,4.015,93,false,131.628,48.000,false
20.000,0,0.000,0.773,16,false,22.203,9.600,false
20.000,1,0.000,1.237,28,false,38.847,16.800,false
20.000,2,2.000,2.070,43,false,62.173,25.200,false
20.000,3,2.000,2.801,60,false,86.484,36.000,false
20.000,4,5.000,4.311,97,false,138.582,48.000,false
21.000,0,0.000,0.541,16,false,19.885,9.600,false
21.000,1,3.000,1.766,31,false,47.136,16.800,true
21.000,2,1.000,1.749,44,false,59.964,25.200,false
21.000,3,5.000,3.461,65,false,98.081,36.000,false
21.000,4,6.000,4.817,103,false,149.650,48.000,true
22.000,0,1.000,0.679,17,false,22.262,9.600,false
22.000,1,2.000,1.836,32,false,48.838,16.800,true
22.000,2,3.000,2.124,47,false,66.718,25.200,false
22.000,3,4.000,3.622,69,false,103.700,36.000,true
22.000,4,6.000,5.172,109,false,159.198,48.000,true
23.000,0,0.000,0.475,17,false,20.226,9.600,false
23.000,1,0.000,1.285,32,false,43.329,16.800,false
