time,event,task_id,node_id,priority,steps,complexity,deadline,base_execution_time,delay_multiplier,rough_score,details
0.000,ARRIVED,1,0,2,20,7.397,102.830,3.942,2.302,0.000000,
0.000,STARTED,1,0,2,20,7.397,102.830,3.942,2.302,0.000000,observed_rate=1.000
0.000,ARRIVED,2,1,4,13,2.906,35.288,2.027,1.000,0.000000,
0.000,ARRIVED,3,1,10,6,7.457,107.645,3.244,1.548,0.000000,
0.000,ARRIVED,4,1,6,14,5.095,97.187,5.648,1.000,0.000000,
0.000,STARTED,2,1,4,13,2.906,35.288,2.027,1.000,0.000000,observed_rate=3.000
0.000,OFFLOADED,4,1,6,14,5.095,97.187,5.648,1.000,0.000000,trigger=PROACTIVE;observed_rate=3.000;smoothed_rate=3.000;predicted_queue=30.476;deadline_risk=false;decision_score=0.000000;offload_count=1;destination_node=0;destination_policy=LEAST_QUEUE
0.000,RECEIVED_OFFLOAD,4,0,6,14,5.095,97.187,5.648,1.000,0.000000,source_node=1;rough_score=0.000000
0.000,ARRIVED,5,3,7,14,6.840,79.346,2.283,1.908,0.000000,
0.000,ARRIVED,6,3,3,17,9.597,80.752,7.108,1.000,0.000000,
0.000,ARRIVED,7,3,1,17,8.796,119.934,7.709,1.000,0.000000,
0.000,STARTED,5,3,7,14,6.840,79.346,2.283,1.908,0.000000,observed_rate=3.000
0.000,ARRIVED,8,4,3,9,5.502,99.888,6.468,1.000,0.000000,
0.000,ARRIVED,9,4,3,1,6.790,45.951,6.705,1.000,0.000000,
0.000,STARTED,8,4,3,9,5.502,99.888,6.468,1.000,0.000000,observed_rate=2.000
1.000,ARRIVED,10,0,2,7,5.496,78.733,2.390,1.922,0.000000,
1.000,OFFLOADED,10,0,2,7,5.496,78.733,2.390,1.922,0.000000,trigger=PROACTIVE;observed_rate=1.000;smoothed_rate=1.000;predicted_queue=10.476;deadline_risk=false;decision_score=0.000000;offload_count=1;destination_node=2;destination_policy=LEAST_QUEUE
1.000,RECEIVED_OFFLOAD,10,2,2,7,5.496,78.733,2.390,1.922,0.000000,source_node=0;rough_score=0.000000
1.000,STARTED,10,2,2,7,5.496,78.733,2.390,1.922,0.000000,observed_rate=0.000
1.000,ARRIVED,11,2,2,16,1.551,103.100,6.793,1.605,0.000000,
1.000,ARRIVED,12,2,4,11,9.038,108.730,2.311,1.948,0.000000,
1.000,ARRIVED,13,3,6,7,3.545,112.896,5.653,1.000,0.000000,
1.000,ARRIVED,14,3,6,1,7.010,78.865,4.455,2.125,0.000000,
1.000,ARRIVED,15,3,6,4,1.307,117.838,2.391,1.000,0.000000,
1.000,ARRIVED,16,3,6,3,3.131,98.572,5.862,1.000,0.000000,
1.000,ARRIVED,17,3,2,1,4.751,36.748,2.363,1.000,0.000000,
1.000,ARRIVED,18,3,5,11,8.586,28.909,4.481,2.075,0.000000,
1.000,ARRIVED,19,3,10,5,5.953,48.942,2.113,1.000,0.000000,
1.000,OFFLOADED,7,3,1,17,8.796,119.934,7.709,1.000,0.000000,trigger=PROACTIVE;observed_rate=7.000;smoothed_rate=4.200;predicted_queue=49.476;deadline_risk=true;decision_score=0.000000;offload_count=1;destination_node=0;destination_policy=LEAST_QUEUE
1.000,RECEIVED_OFFLOAD,7,0,1,17,8.796,119.934,7.709,1.000,0.000000,source_node=3;rough_score=0.000000
1.000,OFFLOADED,13,3,6,7,3.545,112.896,5.653,1.000,0.000000,trigger=PROACTIVE;observed_rate=7.000;smoothed_rate=4.200;predicted_queue=49.476;deadline_risk=true;decision_score=0.000000;offload_count=1;destination_node=1;destination_policy=LEAST_QUEUE
1.000,RECEIVED_OFFLOAD,13,1,6,7,3.545,112.896,5.653,1.000,0.000000,source_node=3;rough_score=0.000000
1.000,OFFLOADED,14,3,6,1,7.010,78.865,4.455,2.125,0.000000,trigger=PROACTIVE;observed_rate=7.000;smoothed_rate=4.200;predicted_queue=49.476;deadline_risk=true;decision_score=0.000000;offload_count=1;destination_node=4;destination_policy=LEAST_QUEUE
1.000,RECEIVED_OFFLOAD,14,4,6,1,7.010,78.865,4.455,2.125,0.000000,source_node=3;rough_score=0.000000
1.000,OFFLOADED,16,3,6,3,3.131,98.572,5.862,1.000,0.000000,trigger=PROACTIVE;observed_rate=7.000;smoothed_rate=4.200;predicted_queue=49.476;deadline_risk=true;decision_score=0.000000;offload_count=1;destination_node=0;destination_policy=LEAST_QUEUE
1.000,RECEIVED_OFFLOAD,16,0,6,3,3.131,98.572,5.862,1.000,0.000000,source_node=3;rough_score=0.000000
1.000,ARRIVED,20,4,9,16,3.606,106.412,2.064,1.000,0.000000,
1.000,ARRIVED,21,4,1,17,9.669,22.400,2.660,1.000,0.000000,
2.000,ARRIVED,22,0,1,14,2.765,76.851,6.004,1.614,0.000000,
2.000,ARRIVED,23,1,5,2,2.850,66.540,4.579,1.000,0.000000,
2.000,ARRIVED,24,2,9,2,6.523,42.581,6.282,1.000,0.000000,
2.000,ARRIVED,25,3,3,15,9.288,64.653,4.496,1.000,0.000000,
